항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,17,7,9,14,28,,93, 
  당기순이익(지배)＜당기＞,4.1,1.7,2.3,3.5,6.7,, , 
  보통주수정평균발행주식수＜당기＞,"24,277,540","24,277,540","24,277,540","24,277,540","24,277,540","24,277,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,580,587,595,610,634,,4, 
  자본총계(지배)＜당기＞,140.9,142.5,144.6,148.1,154.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,277,540","24,277,540","24,277,540","24,277,540","24,277,540","24,277,540", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,45,43,43,55,16,,-70, 
  영업활동현금흐름＜당기＞,10.9,10.4,10.4,13.3,4.0,, , 
  보통주수정평균발행주식수＜당기＞,"24,277,540","24,277,540","24,277,540","24,277,540","24,277,540","24,277,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,165,194,172,172,179,,4, 
  매출액＜당기＞,40.0,47.0,41.8,41.8,43.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,277,540","24,277,540","24,277,540","24,277,540","24,277,540","24,277,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,153.24,306.13,213.43,146.58,81.68,,-44.28, 
  보통주수정주가(기말)＜당기＞,"2,580","2,160","2,000","2,100","2,255","2,220", , 
  EPS＜당기＞,17,7,9,14,28,, , 
펼치기 PBR,4.45,3.68,3.36,3.44,3.55,,3.28, 
  보통주수정주가(기말)＜당기＞,"2,580","2,160","2,000","2,100","2,255","2,220", , 
  BPS＜당기＞,580,587,595,610,634,, , 
펼치기 PCR,57.71,50.20,46.78,38.26,137.29,,258.86, 
  보통주수정주가(기말)＜당기＞,"2,580","2,160","2,000","2,100","2,255","2,220", , 
  CPS＜당기＞,45,43,43,55,16,, , 
펼치기 PSR,15.67,11.15,11.61,12.20,12.58,,3.14, 
  보통주수정주가(기말)＜당기＞,"2,580","2,160","2,000","2,100","2,255","2,220", , 
  SPS＜당기＞,165,194,172,172,179,, , 
펼치기 EV/EBITDA,110.54,73.62,66.72,74.68,80.87,,8.29, 
  EV＜당기＞,784.2,680.0,642.2,657.5,693.1,, , 
  EBITDA＜당기＞,7.1,9.2,9.6,8.8,8.6,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
