항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-407,130,"-2,101",-685,285,, , 
  당기순이익(지배)＜당기＞,-62.1,19.8,-331.9,-123.8,58.0,, , 
  보통주수정평균발행주식수＜당기＞,"15,253,030","15,264,261","15,797,159","18,075,237","20,316,129","26,123,038", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,023","3,142","1,194",942,"1,095",, , 
  자본총계(지배)＜당기＞,461.1,482.8,208.2,171.0,285.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,253,030","15,366,896","17,443,674","18,154,911","26,123,038","26,123,038", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-243,-666,441,-248,-221,, , 
  영업활동현금흐름＜당기＞,-37.1,-101.7,69.6,-44.8,-44.9,, , 
  보통주수정평균발행주식수＜당기＞,"15,253,030","15,264,261","15,797,159","18,075,237","20,316,129","26,123,038", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,378","5,628","2,693","2,121","2,174",, , 
  매출액＜당기＞,820.3,859.1,425.5,383.5,441.6,, , 
  보통주수정평균발행주식수＜당기＞,"15,253,030","15,264,261","15,797,159","18,075,237","20,316,129","26,123,038", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,21.15,N/A,N/A,8.76,, , 
  보통주수정주가(기말)＜당기＞,"2,490","2,740","3,810","2,500","2,500","2,500", , 
  EPS＜당기＞,-407,130,"-2,101",-685,285,, , 
펼치기 PBR,0.82,0.87,3.19,2.65,2.28,, , 
  보통주수정주가(기말)＜당기＞,"2,490","2,740","3,810","2,500","2,500","2,500", , 
  BPS＜당기＞,"3,023","3,142","1,194",942,"1,095",, , 
펼치기 PCR,-10.25,-4.11,8.65,-10.08,-11.31,, , 
  보통주수정주가(기말)＜당기＞,"2,490","2,740","3,810","2,500","2,500","2,500", , 
  CPS＜당기＞,-243,-666,441,-248,-221,, , 
펼치기 PSR,0.46,0.49,1.41,1.18,1.15,, , 
  보통주수정주가(기말)＜당기＞,"2,490","2,740","3,810","2,500","2,500","2,500", , 
  SPS＜당기＞,"5,378","5,628","2,693","2,121","2,174",, , 
펼치기 EV/EBITDA,-5.67,46.92,-4.59,-4.93,20.10,, , 
  EV＜당기＞,288.4,403.7,749.7,396.3,545.9,, , 
  EBITDA＜당기＞,-50.8,8.6,-163.4,-80.4,27.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
