항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-36,-41,-28,-57,-38,, , 
  당기순이익(지배)＜당기＞,-24.2,-28.6,-19.6,-43.9,-30.4,, , 
  보통주수정평균발행주식수＜당기＞,"68,167,611","69,138,942","69,138,942","77,226,374","79,138,942",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,448,405,397,356,318,, , 
  자본총계(지배)＜당기＞,308.2,278.7,272.9,280.5,250.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"68,821,482","68,821,482","68,821,482","78,821,482","78,821,482",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-30,10,-39,-4,-36,, , 
  영업활동현금흐름＜당기＞,-20.4,6.7,-26.7,-2.8,-28.5,, , 
  보통주수정평균발행주식수＜당기＞,"68,167,611","69,138,942","69,138,942","77,226,374","79,138,942",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,559,158,136,131,119,, , 
  매출액＜당기＞,380.7,109.1,93.7,101.1,94.2,, , 
  보통주수정평균발행주식수＜당기＞,"68,167,611","69,138,942","69,138,942","77,226,374","79,138,942",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,860,629,652,"1,145",855,706, , 
  EPS＜당기＞,-36,-41,-28,-57,-38,, , 
펼치기 PBR,1.92,1.55,1.64,3.22,2.69,, , 
  보통주수정주가(기말)＜당기＞,860,629,652,"1,145",855,706, , 
  BPS＜당기＞,448,405,397,356,318,, , 
펼치기 PCR,-28.68,65.25,-16.91,-320.88,-23.71,, , 
  보통주수정주가(기말)＜당기＞,860,629,652,"1,145",855,706, , 
  CPS＜당기＞,-30,10,-39,-4,-36,, , 
펼치기 PSR,1.54,3.99,4.81,8.75,7.18,, , 
  보통주수정주가(기말)＜당기＞,860,629,652,"1,145",855,706, , 
  SPS＜당기＞,559,158,136,131,119,, , 
펼치기 EV/EBITDA,-450.80,-172.75,31.78,-113.81,-18.00,, , 
  EV＜당기＞,674.3,361.0,271.7,677.6,487.8,, , 
  EBITDA＜당기＞,-1.5,-2.1,8.5,-6.0,-27.1,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
