항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,200,523,422,272,99,,-64, 
  당기순이익(지배)＜당기＞,19.3,50.5,40.7,26.3,11.9,, , 
  보통주수정평균발행주식수＜당기＞,"9,649,045","9,649,045","9,649,045","9,649,045","12,063,321","12,203,280", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,739","2,571","2,973","3,209","3,816",,19, 
  자본총계(지배)＜당기＞,167.8,248.0,286.9,309.6,464.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,649,045","9,649,045","9,649,045","9,649,045","12,175,260","12,175,260", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,339,449,415,876,408,,-53, 
  영업활동현금흐름＜당기＞,32.7,43.3,40.0,84.6,49.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,649,045","9,649,045","9,649,045","9,649,045","12,063,321","12,203,280", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,944","4,806","4,913","4,808","4,037",,-16, 
  매출액＜당기＞,380.6,463.8,474.0,463.9,487.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,649,045","9,649,045","9,649,045","9,649,045","12,063,321","12,203,280", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,71.66,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,067","7,100", , 
  EPS＜당기＞,200,523,422,272,99,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.85,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,067","7,100", , 
  BPS＜당기＞,"1,739","2,571","2,973","3,209","3,816",, , 
펼치기 PCR,0.00,0.00,0.00,0.00,17.31,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,067","7,100", , 
  CPS＜당기＞,339,449,415,876,408,, , 
펼치기 PSR,0.00,0.00,0.00,0.00,1.75,, , 
  보통주수정주가(기말)＜당기＞,,,,,"7,067","7,100", , 
  SPS＜당기＞,"3,944","4,806","4,913","4,808","4,037",, , 
펼치기 EV/EBITDA,,,,,15.30,, , 
  EV＜당기＞,,,,,"1,225.1",, , 
  EBITDA＜당기＞,43.3,73.4,75.9,75.5,80.1,, , 
펼치기 DPS,11,13,15,10,10,,0, 
  현금DPS,11,13,15,10,10,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.14,, , 
  현금배당성향(%),5.52,2.54,3.54,3.66,10.23,,6.58, 
