항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-555,-667,"-1,102","-1,474","-2,171",,-47, 
  당기순이익(지배)＜당기＞,-51.6,-77.4,-143.5,-193.8,-297.1,, , 
  보통주수정평균발행주식수＜당기＞,"9,307,290","11,605,730","13,021,744","13,153,863","13,686,418","13,703,160", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,794","4,223","3,200","3,344","1,352",,-60, 
  자본총계(지배)＜당기＞,186.8,549.4,418.0,452.9,185.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,411,088","13,007,842","13,060,242","13,542,060","13,703,160","13,703,160", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-514,-720,-824,-286,"-1,392",,-387, 
  영업활동현금흐름＜당기＞,-47.9,-83.6,-107.3,-37.6,-190.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,307,290","11,605,730","13,021,744","13,153,863","13,686,418","13,703,160", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,26,26,87,188,268,,43, 
  매출액＜당기＞,2.4,3.0,11.3,24.7,36.7,, , 
  보통주수정평균발행주식수＜당기＞,"9,307,290","11,605,730","13,021,744","13,153,863","13,686,418","13,703,160", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,N/A,N/A,N/A,N/A,,44.67, 
  보통주수정주가(기말)＜당기＞,,"34,232","21,220","50,300","41,000","20,150", , 
  EPS＜당기＞,-555,-667,"-1,102","-1,474","-2,171",, , 
펼치기 PBR,0.00,8.11,6.63,15.04,30.33,,101.67, 
  보통주수정주가(기말)＜당기＞,,"34,232","21,220","50,300","41,000","20,150", , 
  BPS＜당기＞,"1,794","4,223","3,200","3,344","1,352",, , 
펼치기 PCR,,-47.53,-25.74,-176.00,-29.45,,83.27, 
  보통주수정주가(기말)＜당기＞,,"34,232","21,220","50,300","41,000","20,150", , 
  CPS＜당기＞,-514,-720,-824,-286,"-1,392",, , 
펼치기 PSR,,"1,315.51",244.46,267.41,152.72,,-42.89, 
  보통주수정주가(기말)＜당기＞,,"34,232","21,220","50,300","41,000","20,150", , 
  SPS＜당기＞,26,26,87,188,268,, , 
펼치기 EV/EBITDA,,-51.49,-16.84,-41.78,-23.56,,43.59, 
  EV＜당기＞,,"3,978.1","2,415.6","6,308.4","5,606.8",, , 
  EBITDA＜당기＞,-50.4,-77.3,-143.4,-151.0,-237.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
