항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-147,"1,119",234,939,-79,302
  당기순이익(지배)＜당기＞,,,-2.8,21.6,5.4,33.0, , 
  보통주수정평균발행주식수＜당기＞,"2,000,000","2,000,000","1,908,050","1,820,500","2,211,685","3,513,206", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"111,083","93,730",0, , 
펼치기 BPS,,,994,"2,035","6,135",,201, 
  자본총계(지배)＜당기＞,,,18.1,40.0,179.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,000,000","2,000,000","1,820,500","1,820,500","2,923,285","3,686,835", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,"143,780",0,0, , 
펼치기 CPS,,,"2,352","1,740",23,,-99, 
  영업활동현금흐름＜당기＞,,,44.9,33.6,0.5,, , 
  보통주수정평균발행주식수＜당기＞,"2,000,000","2,000,000","1,908,050","1,820,500","2,211,685","3,513,206", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"111,083","93,730",0, , 
펼치기 SPS,,,"10,002","15,083","16,212","12,524",7,-23
  매출액＜당기＞,,,190.8,291.3,373.7,440.0, , 
  보통주수정평균발행주식수＜당기＞,"2,000,000","2,000,000","1,908,050","1,820,500","2,211,685","3,513,206", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"111,083","93,730",0, , 
펼치기 PER,,,,,,18.47, , 
  보통주수정주가(기말)＜당기＞,,,,,,"17,350", , 
  EPS＜당기＞,,,-147,"1,119",234,939, , 
펼치기 PBR,,,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"17,350", , 
  BPS＜당기＞,,,994,"2,035","6,135",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"17,350", , 
  CPS＜당기＞,,,"2,352","1,740",23,, , 
펼치기 PSR,,,,,,1.39, , 
  보통주수정주가(기말)＜당기＞,,,,,,"17,350", , 
  SPS＜당기＞,,,"10,002","15,083","16,212","12,524", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,,,0.7,32.2,32.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
