항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,138,117,-176,-857,-459,,46, 
  당기순이익(지배)＜당기＞,34.7,30.8,-48.7,-339.2,-266.6,, , 
  보통주수정평균발행주식수＜당기＞,"25,219,164","26,277,095","27,692,690","39,594,256","58,088,722","80,481,268", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,463","1,507","1,404","1,419","1,363",,-4, 
  자본총계(지배)＜당기＞,361.3,397.7,403.4,736.4,"1,000.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,695,997","26,395,997","28,725,448","51,890,406","73,370,349","81,407,297", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,323,96,95,-38,17,,145, 
  영업활동현금흐름＜당기＞,81.6,25.3,26.3,-15.1,9.9,, , 
  보통주수정평균발행주식수＜당기＞,"25,219,164","26,277,095","27,692,690","39,594,256","58,088,722","80,481,268", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,399","1,469","1,145","1,257",846,,-33, 
  매출액＜당기＞,352.9,386.1,317.0,497.7,491.4,, , 
  보통주수정평균발행주식수＜당기＞,"25,219,164","26,277,095","27,692,690","39,594,256","58,088,722","80,481,268", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.44,25.05,N/A,N/A,N/A,,5.06, 
  보통주수정주가(기말)＜당기＞,"1,890","2,935","3,720","2,615","1,330",931, , 
  EPS＜당기＞,138,117,-176,-857,-459,, , 
펼치기 PBR,1.26,1.95,2.65,1.84,0.98,,-47.04, 
  보통주수정주가(기말)＜당기＞,"1,890","2,935","3,720","2,615","1,330",931, , 
  BPS＜당기＞,"1,463","1,507","1,404","1,419","1,363",, , 
펼치기 PCR,5.72,30.51,39.20,-68.47,77.74,,213.54, 
  보통주수정주가(기말)＜당기＞,"1,890","2,935","3,720","2,615","1,330",931, , 
  CPS＜당기＞,323,96,95,-38,17,, , 
펼치기 PSR,1.32,2.00,3.25,2.08,1.57,,-24.42, 
  보통주수정주가(기말)＜당기＞,"1,890","2,935","3,720","2,615","1,330",931, , 
  SPS＜당기＞,"1,399","1,469","1,145","1,257",846,, , 
펼치기 EV/EBITDA,2.59,13.06,28.81,41.86,14.42,,-65.56, 
  EV＜당기＞,201.1,550.3,"1,359.3","1,532.9","1,110.3",, , 
  EBITDA＜당기＞,77.6,42.1,47.2,36.6,77.0,, , 
펼치기 DPS,80,60,0,0,0,, , 
  현금DPS,80,60,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,4.32,2.04,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),41.15,51.45,0.00,0.00,,, , 
