항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-190,141,-31,"-2,066",-778,, , 
  당기순이익(지배)＜당기＞,-47.2,37.8,-8.8,-601.3,-275.7,, , 
  보통주수정평균발행주식수＜당기＞,"24,866,762","25,727,396","27,038,470","28,748,293","35,451,077","36,402,370", , 
  우선주수정평균발행주식수＜당기＞,0,"1,081,818","1,084,018","364,007",0,0, , 
펼치기 BPS,724,918,"1,235","2,779","3,308",, , 
  자본총계(지배)＜당기＞,181.5,255.4,349.5,968.8,"1,200.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,085,417","26,231,060","27,489,366","34,865,492","36,274,307","36,444,807", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"1,605,137","802,569",0,0,0, , 
펼치기 CPS,-106,110,458,57,-214,, , 
  영업활동현금흐름＜당기＞,-26.4,29.4,128.8,16.6,-76.0,, , 
  보통주수정평균발행주식수＜당기＞,"24,866,762","25,727,396","27,038,470","28,748,293","35,451,077","36,402,370", , 
  우선주수정평균발행주식수＜당기＞,0,"1,081,818","1,084,018","364,007",0,0, , 
펼치기 SPS,465,928,"1,176",979,"1,111",, , 
  매출액＜당기＞,115.7,248.9,330.7,284.9,393.8,, , 
  보통주수정평균발행주식수＜당기＞,"24,866,762","25,727,396","27,038,470","28,748,293","35,451,077","36,402,370", , 
  우선주수정평균발행주식수＜당기＞,0,"1,081,818","1,084,018","364,007",0,0, , 
펼치기 PER,N/A,41.00,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"5,280","5,781","7,612","21,300","35,050","17,000", , 
  EPS＜당기＞,-190,141,-31,"-2,066",-778,, , 
펼치기 PBR,7.30,6.30,6.16,7.67,10.60,, , 
  보통주수정주가(기말)＜당기＞,"5,280","5,781","7,612","21,300","35,050","17,000", , 
  BPS＜당기＞,724,918,"1,235","2,779","3,308",, , 
펼치기 PCR,-49.73,52.77,16.62,373.74,-163.45,, , 
  보통주수정주가(기말)＜당기＞,"5,280","5,781","7,612","21,300","35,050","17,000", , 
  CPS＜당기＞,-106,110,458,57,-214,, , 
펼치기 PSR,11.35,6.23,6.47,21.77,31.55,, , 
  보통주수정주가(기말)＜당기＞,"5,280","5,781","7,612","21,300","35,050","17,000", , 
  SPS＜당기＞,465,928,"1,176",979,"1,111",, , 
펼치기 EV/EBITDA,-50.23,23.03,19.04,"-54,489.24","-1,886.35",, , 
  EV＜당기＞,"1,276.0","1,674.2","2,433.4","7,108.2","12,553.9",, , 
  EBITDA＜당기＞,-25.4,72.7,127.8,-0.1,-6.7,, , 
펼치기 DPS,0,0,,0,0,, , 
  현금DPS,0,0,,0,0,, , 
  주식DPS,0,0,,0,0,, , 
  현금배당수익률,0.00,0.00,,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
