항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"21,054","11,514","4,754","2,596","8,822","8,017",240,-9
  당기순이익(지배)＜당기＞,"1,308.6","1,626.3","1,042.5",569.3,"1,934.5","1,758.0", , 
  보통주수정평균발행주식수＜당기＞,"6,215,518","14,125,307","21,928,554","21,929,154","21,929,154",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"170,555","140,757","150,071","165,817","182,220","189,029",10,4
  자본총계(지배)＜당기＞,"10,283.1","27,632.1","29,464.9","34,373.1","37,773.5","39,185.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,029,198","19,631,038","19,633,929","20,729,619","20,729,619","20,729,619", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"53,094","41,535","33,900","25,829","35,670","37,509",38,5
  영업활동현금흐름＜당기＞,"3,300.1","5,866.9","7,433.8","5,664.1","7,822.2","7,164.1", , 
  보통주수정평균발행주식수＜당기＞,"6,215,518","14,125,307","21,928,554","21,929,154","21,929,154",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"363,607","167,103","172,821","154,643","161,994","188,870",5,17
  매출액＜당기＞,"22,600.1","23,603.8","37,897.2","33,911.8","35,524.0","41,417.5", , 
  보통주수정평균발행주식수＜당기＞,"6,215,518","14,125,307","21,928,554","21,929,154","21,929,154",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,10.97,17.54,33.57,53.74,15.73,13.12,-70.72,-16.60
  보통주수정주가(기말)＜당기＞,"231,000","201,900","159,600","139,500","138,800","105,200", , 
  EPS＜당기＞,"21,054","11,514","4,754","2,596","8,822","8,017", , 
펼치기 PBR,1.35,1.43,1.06,0.84,0.76,0.56,-9.46,-26.94
  보통주수정주가(기말)＜당기＞,"231,000","201,900","159,600","139,500","138,800","105,200", , 
  BPS＜당기＞,"170,555","140,757","150,071","165,817","182,220","189,029", , 
펼치기 PCR,4.35,4.86,4.71,5.40,3.89,2.80,-27.95,-27.92
  보통주수정주가(기말)＜당기＞,"231,000","201,900","159,600","139,500","138,800","105,200", , 
  CPS＜당기＞,"53,094","41,535","33,900","25,829","35,670","37,509", , 
펼치기 PSR,0.64,1.21,0.92,0.90,0.86,0.56,-5.02,-34.99
  보통주수정주가(기말)＜당기＞,"231,000","201,900","159,600","139,500","138,800","105,200", , 
  SPS＜당기＞,"363,607","167,103","172,821","154,643","161,994","188,870", , 
펼치기 EV/EBITDA,4.11,8.22,3.74,4.56,4.58,3.46,0.50,-24.42
  EV＜당기＞,"19,294.6","58,244.6","38,475.7","35,031.5","37,253.9","31,999.5", , 
  EBITDA＜당기＞,"4,691.0","7,084.1","10,282.7","7,687.0","8,134.1","9,243.9", , 
펼치기 DPS,"3,000","1,200","1,400","1,600","2,100",,31, 
  현금DPS,"3,000","1,200","1,400","1,600","2,100",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.30,0.59,0.88,1.15,1.51,1.89,0.37,0.37
  현금배당성향(%),13.82,14.48,26.37,58.26,22.50,24.77,-35.76,2.27
