항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-149,313,-49,-589,261,,144, 
  당기순이익(지배)＜당기＞,-20.1,42.2,-6.7,-79.6,35.2,, , 
  보통주수정평균발행주식수＜당기＞,"13,500,000","13,500,000","13,500,000","13,500,000","13,500,000","13,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,421","6,688","6,566","5,991","6,204",,4, 
  자본총계(지배)＜당기＞,848.7,883.9,867.8,791.8,819.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,216,902","13,216,902","13,216,902","13,216,902","13,216,902","13,216,902", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,499,426,584,291,399,,37, 
  영업활동현금흐름＜당기＞,67.4,57.5,78.9,39.3,53.8,, , 
  보통주수정평균발행주식수＜당기＞,"13,500,000","13,500,000","13,500,000","13,500,000","13,500,000","13,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,012","4,764","4,112","4,453","4,485",,1, 
  매출액＜당기＞,541.6,643.2,555.1,601.1,605.4,, , 
  보통주수정평균발행주식수＜당기＞,"13,500,000","13,500,000","13,500,000","13,500,000","13,500,000","13,500,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,11.79,N/A,N/A,15.53,,281.94, 
  보통주수정주가(기말)＜당기＞,"4,050","3,690","3,165","5,030","4,050","5,160", , 
  EPS＜당기＞,-149,313,-49,-589,261,, , 
펼치기 PBR,0.63,0.55,0.48,0.84,0.65,,-22.24, 
  보통주수정주가(기말)＜당기＞,"4,050","3,690","3,165","5,030","4,050","5,160", , 
  BPS＜당기＞,"6,421","6,688","6,566","5,991","6,204",, , 
펼치기 PCR,8.11,8.66,5.42,17.28,10.15,,-41.25, 
  보통주수정주가(기말)＜당기＞,"4,050","3,690","3,165","5,030","4,050","5,160", , 
  CPS＜당기＞,499,426,584,291,399,, , 
펼치기 PSR,1.01,0.77,0.77,1.13,0.90,,-20.06, 
  보통주수정주가(기말)＜당기＞,"4,050","3,690","3,165","5,030","4,050","5,160", , 
  SPS＜당기＞,"4,012","4,764","4,112","4,453","4,485",, , 
펼치기 EV/EBITDA,13.49,5.59,7.23,9.03,5.90,,-34.60, 
  EV＜당기＞,451.1,421.3,314.3,522.7,360.4,, , 
  EBITDA＜당기＞,33.4,75.4,43.5,57.9,61.0,, , 
펼치기 DPS,25,60,0,50,100,,100, 
  현금DPS,25,60,0,50,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.62,1.63,0.00,0.99,2.47,,1.48, 
  현금배당성향(%),-16.44,18.78,0.00,-8.30,37.53,,45.84, 
