항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,695,592,"1,484","1,008","1,070",,6, 
  당기순이익(지배)＜당기＞,54.4,46.3,116.2,84.9,108.9,, , 
  보통주수정평균발행주식수＜당기＞,"7,821,972","7,821,972","7,824,866","8,417,628","10,183,600","10,183,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,754","4,765","6,365","8,679","9,756",,12, 
  자본총계(지배)＜당기＞,371.8,372.7,509.2,883.8,993.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,821,972","7,821,972","8,000,000","10,183,600","10,183,600","10,183,600", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,457,379,"2,216",531,902,,70, 
  영업활동현금흐름＜당기＞,35.7,29.6,173.4,44.7,91.9,, , 
  보통주수정평균발행주식수＜당기＞,"7,821,972","7,821,972","7,824,866","8,417,628","10,183,600","10,183,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,049","5,526","7,522","6,607","6,708",,2, 
  매출액＜당기＞,316.7,432.2,588.6,556.2,683.1,, , 
  보통주수정평균발행주식수＜당기＞,"7,821,972","7,821,972","7,824,866","8,417,628","10,183,600","10,183,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,24.20,17.48,,-27.76, 
  보통주수정주가(기말)＜당기＞,,,,"24,400","18,700","15,950", , 
  EPS＜당기＞,695,592,"1,484","1,008","1,070",, , 
펼치기 PBR,0.00,0.00,0.00,2.81,1.92,,-31.82, 
  보통주수정주가(기말)＜당기＞,,,,"24,400","18,700","15,950", , 
  BPS＜당기＞,"4,754","4,765","6,365","8,679","9,756",, , 
펼치기 PCR,,,,45.99,20.72,,-54.95, 
  보통주수정주가(기말)＜당기＞,,,,"24,400","18,700","15,950", , 
  CPS＜당기＞,457,379,"2,216",531,902,, , 
펼치기 PSR,,,,3.69,2.79,,-24.51, 
  보통주수정주가(기말)＜당기＞,,,,"24,400","18,700","15,950", , 
  SPS＜당기＞,"4,049","5,526","7,522","6,607","6,708",, , 
펼치기 EV/EBITDA,,,,19.57,12.48,,-36.23, 
  EV＜당기＞,,,,"1,875.1","1,207.3",, , 
  EBITDA＜당기＞,67.1,50.2,132.8,95.8,96.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
