항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-418,-88,-344,59,78,, , 
  당기순이익(지배)＜당기＞,-179.2,-42.0,-166.4,28.8,40.4,, , 
  보통주수정평균발행주식수＜당기＞,"42,880,130","47,432,710","48,362,249","48,396,675","51,428,044","52,862,249", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,008",847,580,701,901,, , 
  자본총계(지배)＜당기＞,449.7,406.7,278.1,339.5,472.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"44,593,342","47,987,865","47,986,415","48,436,415","52,486,415","52,486,415", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-95,115,-49,122,143,, , 
  영업활동현금흐름＜당기＞,-40.6,54.6,-23.6,59.2,73.7,, , 
  보통주수정평균발행주식수＜당기＞,"42,880,130","47,432,710","48,362,249","48,396,675","51,428,044","52,862,249", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,287","1,874","1,685","1,612","1,204",, , 
  매출액＜당기＞,980.8,888.9,814.7,780.1,619.1,, , 
  보통주수정평균발행주식수＜당기＞,"42,880,130","47,432,710","48,362,249","48,396,675","51,428,044","52,862,249", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,13.99,13.19,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,078",693,831,"1,035",957, , 
  EPS＜당기＞,-418,-88,-344,59,78,, , 
펼치기 PBR,1.79,1.27,1.20,1.19,1.15,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,078",693,831,"1,035",957, , 
  BPS＜당기＞,"1,008",847,580,701,901,, , 
펼치기 PCR,-18.99,9.36,-14.23,6.79,7.22,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,078",693,831,"1,035",957, , 
  CPS＜당기＞,-95,115,-49,122,143,, , 
펼치기 PSR,0.79,0.58,0.41,0.52,0.86,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,078",693,831,"1,035",957, , 
  SPS＜당기＞,"2,287","1,874","1,685","1,612","1,204",, , 
펼치기 EV/EBITDA,-65.69,-12.44,-6.70,9.10,7.72,, , 
  EV＜당기＞,"1,012.6",634.7,569.0,422.1,436.3,, , 
  EBITDA＜당기＞,-15.4,-51.0,-84.9,46.4,56.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
