항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-29,-3,-1,,84, 
  당기순이익(지배)＜당기＞,,,-0.6,-0.1,-0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,913,027","3,505,000","3,505,000","14,813,071", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,980","1,976","1,976",,-0, 
  자본총계(지배)＜당기＞,,,69.4,69.3,69.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"3,505,000","3,505,000","3,505,000","24,142,230", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-73,12,21,,66, 
  영업활동현금흐름＜당기＞,,,-1.4,0.4,0.7,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,913,027","3,505,000","3,505,000","14,813,071", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,913,027","3,505,000","3,505,000","14,813,071", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,N/A,N/A,N/A,,-536.74, 
  보통주수정주가(기말)＜당기＞,,,"2,135","2,075","2,105","2,990", , 
  EPS＜당기＞,,,-29,-3,-1,, , 
펼치기 PBR,,,1.05,1.05,1.07,,1.47, 
  보통주수정주가(기말)＜당기＞,,,"2,135","2,075","2,105","2,990", , 
  BPS＜당기＞,,,"1,980","1,976","1,976",, , 
펼치기 PCR,,,-28.49,166.79,101.90,,-38.90, 
  보통주수정주가(기말)＜당기＞,,,"2,135","2,075","2,105","2,990", , 
  CPS＜당기＞,,,-73,12,21,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,135","2,075","2,105","2,990", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-51.48,-248.53,-219.42,,11.71, 
  EV＜당기＞,,,71.9,72.6,74.1,, , 
  EBITDA＜당기＞,,,-1.4,-0.3,-0.3,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,0.00,,0.00, 
