항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-205,-130,18,35,-19,,-155, 
  당기순이익(지배)＜당기＞,-94.2,-59.6,8.4,16.1,-9.3,, , 
  보통주수정평균발행주식수＜당기＞,"45,854,719","45,854,719","45,854,719","46,065,900","48,240,910","49,129,824", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,843","1,717","1,750","1,780","1,872",,5, 
  자본총계(지배)＜당기＞,841.6,784.0,799.1,816.7,915.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"45,654,719","45,654,719","45,654,719","45,873,059","48,929,824","48,929,824", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-314,-258,159,362,-76,,-121, 
  영업활동현금흐름＜당기＞,-144.1,-118.1,72.9,166.7,-36.8,, , 
  보통주수정평균발행주식수＜당기＞,"45,854,719","45,854,719","45,854,719","46,065,900","48,240,910","49,129,824", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,656","2,306","2,436","1,782","1,421",,-20, 
  매출액＜당기＞,759.2,"1,057.4","1,116.8",820.8,685.4,, , 
  보통주수정평균발행주식수＜당기＞,"45,854,719","45,854,719","45,854,719","46,065,900","48,240,910","49,129,824", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,110.86,55.57,N/A,,-419.09, 
  보통주수정주가(기말)＜당기＞,"2,475","2,505","2,035","1,945","3,405","6,280", , 
  EPS＜당기＞,-205,-130,18,35,-19,, , 
펼치기 PBR,1.34,1.46,1.16,1.09,1.82,,66.50, 
  보통주수정주가(기말)＜당기＞,"2,475","2,505","2,035","1,945","3,405","6,280", , 
  BPS＜당기＞,"1,843","1,717","1,750","1,780","1,872",, , 
펼치기 PCR,-7.88,-9.73,12.80,5.37,-44.69,,-931.54, 
  보통주수정주가(기말)＜당기＞,"2,475","2,505","2,035","1,945","3,405","6,280", , 
  CPS＜당기＞,-314,-258,159,362,-76,, , 
펼치기 PSR,1.49,1.09,0.84,1.09,2.40,,119.55, 
  보통주수정주가(기말)＜당기＞,"2,475","2,505","2,035","1,945","3,405","6,280", , 
  SPS＜당기＞,"1,656","2,306","2,436","1,782","1,421",, , 
펼치기 EV/EBITDA,-28.04,87.95,64.00,16.96,469.09,,"2,665.61", 
  EV＜당기＞,"1,169.2","1,188.9",896.0,696.4,"1,459.6",, , 
  EBITDA＜당기＞,-41.7,13.5,14.0,41.1,3.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
