항목,"2017/03
(IFRS별도)","2018/03
(IFRS별도)","2019/03
(IFRS별도)","2020/03
(IFRS별도)",2021/03,"2022/03(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,15,-27,-78,-200,107,, , 
  당기순이익(지배)＜당기＞,6.0,-10.6,-32.6,-111.2,92.1,, , 
  보통주수정평균발행주식수＜당기＞,"39,662,361","40,000,000","41,956,837","55,710,367","85,723,179","122,153,573", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,392,363,381,348,425,, , 
  자본총계(지배)＜당기＞,156.7,145.4,201.6,220.4,407.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"39,998,462","40,000,000","52,864,828","63,297,558","95,953,218","130,043,702", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-260,-5,-260,-731,141,, , 
  영업활동현금흐름＜당기＞,-103.2,-2.2,-108.9,-407.3,121.1,, , 
  보통주수정평균발행주식수＜당기＞,"39,662,361","40,000,000","41,956,837","55,710,367","85,723,179","122,153,573", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,116,93,104,160,523,, , 
  매출액＜당기＞,46.1,37.3,43.8,89.0,448.5,, , 
  보통주수정평균발행주식수＜당기＞,"39,662,361","40,000,000","41,956,837","55,710,367","85,723,179","122,153,573", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,62.19,N/A,N/A,N/A,8.29,, , 
  보통주수정주가(기말)＜당기＞,940,687,710,504,891,525, , 
  EPS＜당기＞,15,-27,-78,-200,107,, , 
펼치기 PBR,2.40,1.89,1.86,1.45,2.10,, , 
  보통주수정주가(기말)＜당기＞,940,687,710,504,891,525, , 
  BPS＜당기＞,392,363,381,348,425,, , 
펼치기 PCR,-3.61,-127.06,-2.74,-0.69,6.30,, , 
  보통주수정주가(기말)＜당기＞,940,687,710,504,891,525, , 
  CPS＜당기＞,-260,-5,-260,-731,141,, , 
펼치기 PSR,8.09,7.36,6.80,3.16,1.70,, , 
  보통주수정주가(기말)＜당기＞,940,687,710,504,891,525, , 
  SPS＜당기＞,116,93,104,160,523,, , 
펼치기 EV/EBITDA,52.71,-41.78,-11.95,-4.57,9.83,, , 
  EV＜당기＞,370.0,268.8,393.3,495.9,853.2,, , 
  EBITDA＜당기＞,7.0,-6.4,-32.9,-108.4,86.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
