항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,097","1,891","1,409","1,939","3,387","4,378",75,29
  당기순이익(지배)＜당기＞,194.5,362.5,276.5,380.5,666.7,864.7, , 
  보통주수정평균발행주식수＜당기＞,"17,729,874","19,164,088","19,620,421","19,627,674","19,686,225","19,751,852", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,515","6,227","7,482","9,691","13,167","17,162",36,30
  자본총계(지배)＜당기＞,855.5,"1,196.5","1,454.3","1,880.6","2,569.8","3,350.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,949,474","19,216,474","19,437,674","19,406,840","19,516,840","19,520,402", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,751","2,311","2,056","3,613","4,906","6,262",36,28
  영업활동현금흐름＜당기＞,310.5,442.9,403.3,709.2,965.8,"1,235.3", , 
  보통주수정평균발행주식수＜당기＞,"17,729,874","19,164,088","19,620,421","19,627,674","19,686,225","19,751,852", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"5,805","8,620","7,891","10,225","13,771","17,651",35,28
  매출액＜당기＞,"1,029.1","1,652.0","1,548.3","2,006.9","2,711.0","3,486.3", , 
  보통주수정평균발행주식수＜당기＞,"17,729,874","19,164,088","19,620,421","19,627,674","19,686,225","19,751,852", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,16.87,6.37,13.45,14.75,18.54,14.14,25.69,-23.74
  보통주수정주가(기말)＜당기＞,"18,500","12,050","18,950","28,600","62,800","61,900", , 
  EPS＜당기＞,"1,097","1,891","1,409","1,939","3,387","4,378", , 
펼치기 PBR,4.10,1.94,2.53,2.95,4.77,3.61,61.61,-24.38
  보통주수정주가(기말)＜당기＞,"18,500","12,050","18,950","28,600","62,800","61,900", , 
  BPS＜당기＞,"4,515","6,227","7,482","9,691","13,167","17,162", , 
펼치기 PCR,10.56,5.21,9.22,7.91,12.80,9.89,61.73,-22.77
  보통주수정주가(기말)＜당기＞,"18,500","12,050","18,950","28,600","62,800","61,900", , 
  CPS＜당기＞,"1,751","2,311","2,056","3,613","4,906","6,262", , 
펼치기 PSR,3.19,1.40,2.40,2.80,4.56,3.51,63.03,-23.10
  보통주수정주가(기말)＜당기＞,"18,500","12,050","18,950","28,600","62,800","61,900", , 
  SPS＜당기＞,"5,805","8,620","7,891","10,225","13,771","17,651", , 
펼치기 EV/EBITDA,12.30,5.48,8.39,8.96,11.31,8.61,26.20,-23.84
  EV＜당기＞,"3,793.5","3,286.3","4,904.3","6,404.8","13,120.1","12,526.9", , 
  EBITDA＜당기＞,308.5,599.4,584.3,714.9,"1,160.5","1,454.8", , 
펼치기 DPS,125,250,200,300,600,,100, 
  현금DPS,125,250,200,300,600,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.68,2.07,1.06,1.05,0.96,1.18,-0.09,0.22
  현금배당성향(%),12.18,13.25,14.06,15.30,17.56,16.68,2.26,-0.88
