항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,188,49,107,204,236,,16, 
  당기순이익(지배)＜당기＞,42.8,11.4,25.4,48.3,56.0,, , 
  보통주수정평균발행주식수＜당기＞,"22,805,172","23,055,282","23,700,172","23,700,172","23,700,172","23,700,172", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,555","1,865","1,973","2,178","2,417",,11, 
  자본총계(지배)＜당기＞,354.7,438.4,463.9,512.1,568.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,805,172","23,512,659","23,512,659","23,512,659","23,512,659","23,512,659", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,465,-319,399,-169,775,,559, 
  영업활동현금흐름＜당기＞,106.1,-73.4,94.6,-40.0,183.6,, , 
  보통주수정평균발행주식수＜당기＞,"22,805,172","23,055,282","23,700,172","23,700,172","23,700,172","23,700,172", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,202","2,152","2,209","2,141","2,788",,30, 
  매출액＜당기＞,502.2,496.1,523.7,507.3,660.7,, , 
  보통주수정평균발행주식수＜당기＞,"22,805,172","23,055,282","23,700,172","23,700,172","23,700,172","23,700,172", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,107.40,31.69,29.95,20.47,,-31.65, 
  보통주수정주가(기말)＜당기＞,,"5,300","3,400","6,100","4,840","3,620", , 
  EPS＜당기＞,188,49,107,204,236,, , 
펼치기 PBR,,2.84,1.72,2.80,2.00,,-28.48, 
  보통주수정주가(기말)＜당기＞,,"5,300","3,400","6,100","4,840","3,620", , 
  BPS＜당기＞,"1,555","1,865","1,973","2,178","2,417",, , 
펼치기 PCR,,-16.64,8.52,-36.13,6.25,,117.29, 
  보통주수정주가(기말)＜당기＞,,"5,300","3,400","6,100","4,840","3,620", , 
  CPS＜당기＞,465,-319,399,-169,775,, , 
펼치기 PSR,,2.46,1.54,2.85,1.74,,-39.07, 
  보통주수정주가(기말)＜당기＞,,"5,300","3,400","6,100","4,840","3,620", , 
  SPS＜당기＞,"2,202","2,152","2,209","2,141","2,788",, , 
펼치기 EV/EBITDA,,25.96,13.70,19.79,11.61,,-41.35, 
  EV＜당기＞,,"1,326.7",781.7,"1,475.0","1,077.6",, , 
  EBITDA＜당기＞,67.0,51.1,57.1,74.5,92.8,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
