항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,77,42,23,22,-168,,-859, 
  당기순이익(지배)＜당기＞,19.1,10.3,5.7,5.5,-47.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,721,865","24,721,865","24,721,865","24,721,865","28,240,095","31,686,323", , 
  우선주수정평균발행주식수＜당기＞,0,"13,952","17,500","17,500","8,630",, , 
펼치기 BPS,215,545,568,232,586,,153, 
  자본총계(지배)＜당기＞,53.1,134.8,140.5,57.4,185.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,721,865","24,721,865","24,721,865","24,721,865","31,686,323",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"17,500","17,500","17,500",0,, , 
펼치기 CPS,17,-113,-194,16,22,,39, 
  영업활동현금흐름＜당기＞,4.3,-27.9,-47.9,4.0,6.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,721,865","24,721,865","24,721,865","24,721,865","28,240,095","31,686,323", , 
  우선주수정평균발행주식수＜당기＞,0,"13,952","17,500","17,500","8,630",, , 
펼치기 SPS,881,970,"1,142","1,873","2,164",,16, 
  매출액＜당기＞,217.8,239.8,282.4,463.3,611.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,721,865","24,721,865","24,721,865","24,721,865","28,240,095","31,686,323", , 
  우선주수정평균발행주식수＜당기＞,0,"13,952","17,500","17,500","8,630",, , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,135","2,695", , 
  EPS＜당기＞,77,42,23,22,-168,, , 
펼치기 PBR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,135","2,695", , 
  BPS＜당기＞,215,545,568,232,586,, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,135","2,695", , 
  CPS＜당기＞,17,-113,-194,16,22,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,135","2,695", , 
  SPS＜당기＞,881,970,"1,142","1,873","2,164",, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,27.5,15.1,13.9,31.1,17.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
