항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,288,269,"-1,108",-453,-494,,-9, 
  당기순이익(지배)＜당기＞,15.1,15.8,-82.8,-52.5,-77.9,, , 
  보통주수정평균발행주식수＜당기＞,"5,256,542","5,862,868","7,472,112","11,583,726","15,758,520","19,391,913", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,949","5,859","5,276","5,477","5,840",,7, 
  자본총계(지배)＜당기＞,260.8,373.9,500.8,788.0,"1,082.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,271,046","6,381,046","9,491,112","14,387,896","18,542,810","19,081,809", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,282",905,"1,360","1,305",531,,-59, 
  영업활동현금흐름＜당기＞,67.4,53.1,101.6,151.2,83.8,, , 
  보통주수정평균발행주식수＜당기＞,"5,256,542","5,862,868","7,472,112","11,583,726","15,758,520","19,391,913", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,917","5,271","6,294","3,934","4,108",,4, 
  매출액＜당기＞,258.5,309.1,470.3,455.7,647.4,, , 
  보통주수정평균발행주식수＜당기＞,"5,256,542","5,862,868","7,472,112","11,583,726","15,758,520","19,391,913", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,17.90,49.27,N/A,N/A,N/A,,1.07, 
  보통주수정주가(기말)＜당기＞,"5,150","13,250","7,120","8,600","9,280","9,250", , 
  EPS＜당기＞,288,269,"-1,108",-453,-494,, , 
펼치기 PBR,1.04,2.26,1.35,1.57,1.59,,1.20, 
  보통주수정주가(기말)＜당기＞,"5,150","13,250","7,120","8,600","9,280","9,250", , 
  BPS＜당기＞,"4,949","5,859","5,276","5,477","5,840",, , 
펼치기 PCR,4.02,14.64,5.24,6.59,17.46,,164.96, 
  보통주수정주가(기말)＜당기＞,"5,150","13,250","7,120","8,600","9,280","9,250", , 
  CPS＜당기＞,"1,282",905,"1,360","1,305",531,, , 
펼치기 PSR,1.05,2.51,1.13,2.19,2.26,,3.32, 
  보통주수정주가(기말)＜당기＞,"5,150","13,250","7,120","8,600","9,280","9,250", , 
  SPS＜당기＞,"4,917","5,271","6,294","3,934","4,108",, , 
펼치기 EV/EBITDA,5.49,11.45,7.25,6.66,9.87,,48.12, 
  EV＜당기＞,408.8,"1,073.3",932.3,948.1,"1,418.3",, , 
  EBITDA＜당기＞,74.5,93.7,128.7,142.4,143.8,, , 
펼치기 DPS,100,0,0,0,,, , 
  현금DPS,100,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.94,0.00,0.00,0.00,,, , 
  현금배당성향(%),34.85,0.00,0.00,0.00,,, , 
