항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,389","2,690",932,48,"2,060",, , 
  당기순이익(지배)＜당기＞,351.2,395.4,137.0,7.1,302.8,, , 
  보통주수정평균발행주식수＜당기＞,"14,700,000","14,700,000","14,700,000","14,700,000","14,700,000","14,700,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"21,921","26,801","27,776","28,496","29,100",, , 
  자본총계(지배)＜당기＞,"3,222.4","3,303.0","3,423.2","3,395.6","3,904.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,700,000","12,324,402","12,324,235","11,916,073","13,416,073","13,416,073", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"4,269","4,924","2,867","1,676",-163,, , 
  영업활동현금흐름＜당기＞,627.6,723.8,421.4,246.4,-23.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,700,000","14,700,000","14,700,000","14,700,000","14,700,000","14,700,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"17,276","12,853","9,811","7,922","14,281","21,905", ,53
  매출액＜당기＞,"2,539.5","1,889.3","1,442.2","1,164.5","2,099.3","3,220.0", , 
  보통주수정평균발행주식수＜당기＞,"14,700,000","14,700,000","14,700,000","14,700,000","14,700,000","14,700,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.04,4.28,8.97,179.61,6.72,, , 
  보통주수정주가(기말)＜당기＞,"12,050","11,500","8,360","8,620","13,850","24,000", , 
  EPS＜당기＞,"2,389","2,690",932,48,"2,060",, , 
펼치기 PBR,0.55,0.43,0.30,0.30,0.48,, , 
  보통주수정주가(기말)＜당기＞,"12,050","11,500","8,360","8,620","13,850","24,000", , 
  BPS＜당기＞,"21,921","26,801","27,776","28,496","29,100",, , 
펼치기 PCR,2.82,2.34,2.92,5.14,-85.15,, , 
  보통주수정주가(기말)＜당기＞,"12,050","11,500","8,360","8,620","13,850","24,000", , 
  CPS＜당기＞,"4,269","4,924","2,867","1,676",-163,, , 
펼치기 PSR,0.70,0.89,0.85,1.09,0.97,1.10, ,12.97
  보통주수정주가(기말)＜당기＞,"12,050","11,500","8,360","8,620","13,850","24,000", , 
  SPS＜당기＞,"17,276","12,853","9,811","7,922","14,281","21,905", , 
펼치기 EV/EBITDA,1.23,0.79,0.10,-1.55,4.36,, , 
  EV＜당기＞,907.7,559.4,39.7,-170.3,"1,638.5",, , 
  EBITDA＜당기＞,740.5,707.1,402.3,110.1,376.2,, , 
펼치기 DPS,100,100,100,0,100,, , 
  현금DPS,100,100,100,0,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.83,0.87,1.20,0.00,0.72,, , 
  현금배당성향(%),4.19,3.12,9.00,0.00,4.43,, , 
