항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,360,231,"-1,001",507,525,, , 
  당기순이익(지배)＜당기＞,30.8,22.9,-118.8,60.2,62.3,, , 
  보통주수정평균발행주식수＜당기＞,"8,557,535","9,912,697","11,860,430","11,860,430","11,860,430","11,860,430", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,904","2,549","1,491","1,923","2,469",, , 
  자본총계(지배)＜당기＞,166.4,302.3,176.8,226.0,290.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,742,350","11,860,428","11,860,428","11,751,792","11,751,792","11,751,792", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,269,202,-72,92,745,, , 
  영업활동현금흐름＜당기＞,23.0,20.0,-8.6,10.9,88.3,, , 
  보통주수정평균발행주식수＜당기＞,"8,557,535","9,912,697","11,860,430","11,860,430","11,860,430","11,860,430", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"8,345","7,978","8,781","9,441","10,266",, , 
  매출액＜당기＞,714.2,790.8,"1,041.5","1,119.7","1,217.6",, , 
  보통주수정평균발행주식수＜당기＞,"8,557,535","9,912,697","11,860,430","11,860,430","11,860,430","11,860,430", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,3.82,18.61,N/A,11.84,7.55,, , 
  보통주수정주가(기말)＜당기＞,"1,376","4,298","2,185","6,010","3,965","5,380", , 
  EPS＜당기＞,360,231,"-1,001",507,525,, , 
펼치기 PBR,0.72,1.69,1.47,3.13,1.61,, , 
  보통주수정주가(기말)＜당기＞,"1,376","4,298","2,185","6,010","3,965","5,380", , 
  BPS＜당기＞,"1,904","2,549","1,491","1,923","2,469",, , 
펼치기 PCR,5.11,21.33,-30.16,65.43,5.32,, , 
  보통주수정주가(기말)＜당기＞,"1,376","4,298","2,185","6,010","3,965","5,380", , 
  CPS＜당기＞,269,202,-72,92,745,, , 
펼치기 PSR,0.16,0.54,0.25,0.64,0.39,, , 
  보통주수정주가(기말)＜당기＞,"1,376","4,298","2,185","6,010","3,965","5,380", , 
  SPS＜당기＞,"8,345","7,978","8,781","9,441","10,266",, , 
펼치기 EV/EBITDA,0.76,9.23,2.36,8.30,4.00,, , 
  EV＜당기＞,27.1,294.3,90.7,581.5,269.2,, , 
  EBITDA＜당기＞,35.5,31.9,38.3,70.1,67.3,, , 
펼치기 DPS,0,0,0,0,50,, , 
  현금DPS,0,0,0,0,50,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,1.26,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,9.43,, , 
