항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,636","-2,046","-2,339","-2,041","-1,974",,3, 
  당기순이익(지배)＜당기＞,-122.0,-164.2,-227.0,-205.0,-228.5,, , 
  보통주수정평균발행주식수＜당기＞,"7,453,887","7,790,758","8,570,888","8,663,362","8,871,850","8,883,462", , 
  우선주수정평균발행주식수＜당기＞,0,"230,386","1,131,347","1,381,777","2,701,943","3,181,395", , 
펼치기 BPS,"1,921","4,074","1,786","4,908","4,276",,-13, 
  자본총계(지배)＜당기＞,145.3,394.1,173.8,565.7,515.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,566,192","8,536,666","8,625,566","8,843,589","8,883,462","8,883,462", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"1,136,361","1,106,361","2,681,395","3,181,395","3,181,395", , 
펼치기 CPS,"-1,689","-1,721","-2,474","-1,976","-2,106",,-7, 
  영업활동현금흐름＜당기＞,-125.9,-138.0,-240.0,-198.5,-243.7,, , 
  보통주수정평균발행주식수＜당기＞,"7,453,887","7,790,758","8,570,888","8,663,362","8,871,850","8,883,462", , 
  우선주수정평균발행주식수＜당기＞,0,"230,386","1,131,347","1,381,777","2,701,943","3,181,395", , 
펼치기 SPS,0,0,0,0,422,, , 
  매출액＜당기＞,,,,,48.9,, , 
  보통주수정평균발행주식수＜당기＞,"7,453,887","7,790,758","8,570,888","8,663,362","8,871,850","8,883,462", , 
  우선주수정평균발행주식수＜당기＞,0,"230,386","1,131,347","1,381,777","2,701,943","3,181,395", , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,8.02, 
  보통주수정주가(기말)＜당기＞,"30,500","19,900","30,500","34,050","30,300","30,300", , 
  EPS＜당기＞,"-1,636","-2,046","-2,339","-2,041","-1,974",, , 
펼치기 PBR,15.88,4.88,17.08,6.94,7.09,,2.13, 
  보통주수정주가(기말)＜당기＞,"30,500","19,900","30,500","34,050","30,300","30,300", , 
  BPS＜당기＞,"1,921","4,074","1,786","4,908","4,276",, , 
펼치기 PCR,-18.06,-11.56,-12.33,-17.23,-14.39,,16.50, 
  보통주수정주가(기말)＜당기＞,"30,500","19,900","30,500","34,050","30,300","30,300", , 
  CPS＜당기＞,"-1,689","-1,721","-2,474","-1,976","-2,106",, , 
펼치기 PSR,,,,,71.77,, , 
  보통주수정주가(기말)＜당기＞,"30,500","19,900","30,500","34,050","30,300","30,300", , 
  SPS＜당기＞,0,0,0,0,422,, , 
펼치기 EV/EBITDA,-17.08,-7.69,-10.78,-11.89,-9.25,,22.19, 
  EV＜당기＞,"2,158.3","1,276.3","2,450.8","2,435.5","2,181.3",, , 
  EBITDA＜당기＞,-126.4,-165.9,-227.3,-204.8,-235.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
