항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,159,234,512,539,536,,-1, 
  당기순이익(지배)＜당기＞,31.3,46.2,101.0,110.0,115.0,, , 
  보통주수정평균발행주식수＜당기＞,"19,735,331","19,735,331","19,735,331","20,391,769","21,451,447","21,451,447", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,971","4,168","4,634","7,896","8,374",,6, 
  자본총계(지배)＜당기＞,783.6,796.7,885.8,"1,644.7","1,744.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,735,331","19,114,154","19,114,154","20,830,270","20,830,270","20,830,270", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,482,624,443,333,589,,77, 
  영업활동현금흐름＜당기＞,95.2,123.2,87.4,68.0,126.4,, , 
  보통주수정평균발행주식수＜당기＞,"19,735,331","19,735,331","19,735,331","20,391,769","21,451,447","21,451,447", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,731","3,092","4,280","4,285","4,608",,8, 
  매출액＜당기＞,539.0,610.2,844.7,873.7,988.4,, , 
  보통주수정평균발행주식수＜당기＞,"19,735,331","19,735,331","19,735,331","20,391,769","21,451,447","21,451,447", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,27.16,16.09,23.84,80.67,68.65,,-14.90, 
  보통주수정주가(기말)＜당기＞,"4,310","3,770","12,200","43,500","36,800","25,850", , 
  EPS＜당기＞,159,234,512,539,536,, , 
펼치기 PBR,1.09,0.90,2.63,5.51,4.39,,-20.23, 
  보통주수정주가(기말)＜당기＞,"4,310","3,770","12,200","43,500","36,800","25,850", , 
  BPS＜당기＞,"3,971","4,168","4,634","7,896","8,374",, , 
펼치기 PCR,8.93,6.04,27.56,130.52,62.44,,-52.16, 
  보통주수정주가(기말)＜당기＞,"4,310","3,770","12,200","43,500","36,800","25,850", , 
  CPS＜당기＞,482,624,443,333,589,, , 
펼치기 PSR,1.58,1.22,2.85,10.15,7.99,,-21.33, 
  보통주수정주가(기말)＜당기＞,"4,310","3,770","12,200","43,500","36,800","25,850", , 
  SPS＜당기＞,"2,731","3,092","4,280","4,285","4,608",, , 
펼치기 EV/EBITDA,10.51,6.27,12.74,44.91,33.90,,-24.52, 
  EV＜당기＞,"1,024.6",858.9,"2,532.6","8,841.1","7,340.7",, , 
  EBITDA＜당기＞,97.5,137.1,198.8,196.9,216.5,, , 
펼치기 DPS,50,50,50,80,100,,25, 
  현금DPS,50,50,50,80,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.16,1.33,0.41,0.18,0.27,,0.09, 
  현금배당성향(%),31.51,20.67,9.46,15.15,18.11,,2.96, 
