항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-242,819,834,"1,098","1,081",, , 
  당기순이익(지배)＜당기＞,-15.3,52.7,61.9,81.5,99.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,300,000","6,420,200","7,425,000","7,425,000","9,195,414","9,601,336", , 
  우선주수정평균발행주식수＜당기＞,"22,500","20,096",0,0,0,0, , 
펼치기 BPS,"1,585","2,351","3,362","4,719","7,911",, , 
  자본총계(지배)＜당기＞,100.2,174.6,249.6,350.4,736.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,300,000","7,425,000","7,425,000","7,425,000","9,304,000","9,603,800", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"22,500",0,0,0,0,0, , 
펼치기 CPS,371,"1,169",613,"1,299","1,021",, , 
  영업활동현금흐름＜당기＞,23.5,75.3,45.5,96.4,93.9,, , 
  보통주수정평균발행주식수＜당기＞,"6,300,000","6,420,200","7,425,000","7,425,000","9,195,414","9,601,336", , 
  우선주수정평균발행주식수＜당기＞,"22,500","20,096",0,0,0,0, , 
펼치기 SPS,"2,433","5,494","5,433","5,889","6,168",, , 
  매출액＜당기＞,153.8,353.8,403.4,437.3,567.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,300,000","6,420,200","7,425,000","7,425,000","9,195,414","9,601,336", , 
  우선주수정평균발행주식수＜당기＞,"22,500","20,096",0,0,0,0, , 
펼치기 PER,,,,,22.19,, , 
  보통주수정주가(기말)＜당기＞,,,,,"24,000","15,100", , 
  EPS＜당기＞,-242,819,834,"1,098","1,081",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,3.03,, , 
  보통주수정주가(기말)＜당기＞,,,,,"24,000","15,100", , 
  BPS＜당기＞,"1,585","2,351","3,362","4,719","7,911",, , 
펼치기 PCR,,,,0.00,23.51,, , 
  보통주수정주가(기말)＜당기＞,,,,,"24,000","15,100", , 
  CPS＜당기＞,371,"1,169",613,"1,299","1,021",, , 
펼치기 PSR,,,,0.00,3.89,, , 
  보통주수정주가(기말)＜당기＞,,,,,"24,000","15,100", , 
  SPS＜당기＞,"2,433","5,494","5,433","5,889","6,168",, , 
펼치기 EV/EBITDA,,,,,15.47,, , 
  EV＜당기＞,,,,,"1,711.6",, , 
  EBITDA＜당기＞,33.0,81.2,76.3,105.5,110.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
