항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,22,-31,13,155,-367,,-337, 
  당기순이익(지배)＜당기＞,0.9,-1.4,0.6,7.0,-21.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,049,514","4,455,040","4,473,156","4,521,150","5,813,224","6,027,284", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,437,408,426,682,"4,070",,497, 
  자본총계(지배)＜당기＞,19.5,18.2,19.1,31.2,245.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,455,040","4,455,040","4,474,040","4,574,284","6,027,284","6,027,284", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,37,-111,273,429,146,,-66, 
  영업활동현금흐름＜당기＞,1.5,-5.0,12.2,19.4,8.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,049,514","4,455,040","4,473,156","4,521,150","5,813,224","6,027,284", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,565,"1,148","1,577","2,469",994,,-60, 
  매출액＜당기＞,22.9,51.1,70.5,111.6,57.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,049,514","4,455,040","4,473,156","4,521,150","5,813,224","6,027,284", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,298.66,N/A,445.37,165.12,N/A,,-153.00, 
  보통주수정주가(기말)＜당기＞,"6,500","5,000","6,000","25,550","32,150","17,450", , 
  EPS＜당기＞,22,-31,13,155,-367,, , 
펼치기 PBR,14.86,12.27,14.07,37.48,7.90,,-78.92, 
  보통주수정주가(기말)＜당기＞,"6,500","5,000","6,000","25,550","32,150","17,450", , 
  BPS＜당기＞,437,408,426,682,"4,070",, , 
펼치기 PCR,176.40,-44.86,21.99,59.56,220.33,,269.92, 
  보통주수정주가(기말)＜당기＞,"6,500","5,000","6,000","25,550","32,150","17,450", , 
  CPS＜당기＞,37,-111,273,429,146,, , 
펼치기 PSR,11.51,4.36,3.80,10.35,32.35,,212.56, 
  보통주수정주가(기말)＜당기＞,"6,500","5,000","6,000","25,550","32,150","17,450", , 
  SPS＜당기＞,565,"1,148","1,577","2,469",994,, , 
펼치기 EV/EBITDA,132.98,-395.13,41.46,90.71,-143.78,,-258.51, 
  EV＜당기＞,281.4,218.8,275.1,"1,160.0","1,717.0",, , 
  EBITDA＜당기＞,2.1,-0.6,6.6,12.8,-11.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,,,0.00,,, , 
