항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-426,-671,-643,,4, 
  당기순이익(지배)＜당기＞,,,-22.6,-47.1,-52.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,093,930","3,093,930","4,871,954","7,026,378","8,149,723","8,164,148", , 
  우선주수정평균발행주식수＜당기＞,"465,036","765,176","427,383",0,0,0, , 
펼치기 BPS,,,800,"3,622","2,864",,-21, 
  자본총계(지배)＜당기＞,,,51.6,293.6,233.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,093,930","3,093,930","6,444,483","8,105,648","8,164,148","8,164,148", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"591,916","911,916",0,0,0,0, , 
펼치기 CPS,,,"-1,013",-639,-393,,39, 
  영업활동현금흐름＜당기＞,,,-53.7,-44.9,-32.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,093,930","3,093,930","4,871,954","7,026,378","8,149,723","8,164,148", , 
  우선주수정평균발행주식수＜당기＞,"465,036","765,176","427,383",0,0,0, , 
펼치기 SPS,,,970,749,992,,32, 
  매출액＜당기＞,,,51.4,52.7,80.8,, , 
  보통주수정평균발행주식수＜당기＞,"3,093,930","3,093,930","4,871,954","7,026,378","8,149,723","8,164,148", , 
  우선주수정평균발행주식수＜당기＞,"465,036","765,176","427,383",0,0,0, , 
펼치기 PER,,,,N/A,N/A,,40.67, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","15,350","8,480", , 
  EPS＜당기＞,,,-426,-671,-643,, , 
펼치기 PBR,,,0.00,7.45,5.36,,-28.12, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","15,350","8,480", , 
  BPS＜당기＞,,,800,"3,622","2,864",, , 
펼치기 PCR,,,,-42.25,-39.09,,7.48, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","15,350","8,480", , 
  CPS＜당기＞,,,"-1,013",-639,-393,, , 
펼치기 PSR,,,,36.03,15.47,,-57.05, 
  보통주수정주가(기말)＜당기＞,,,,"27,000","15,350","8,480", , 
  SPS＜당기＞,,,970,749,992,, , 
펼치기 EV/EBITDA,,,,-45.72,-20.60,,54.94, 
  EV＜당기＞,,,,"1,906.0","1,059.9",, , 
  EBITDA＜당기＞,,,-43.4,-41.7,-51.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
