항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-4,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"62,295","5,188,630","6,490,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,,"1,960",, , 
  자본총계(지배)＜당기＞,,,,,127.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"240,000","6,490,000","6,490,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,,-10,, , 
  영업활동현금흐름＜당기＞,,,,,-0.5,, , 
  보통주수정평균발행주식수＜당기＞,,,,"62,295","5,188,630","6,490,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"62,295","5,188,630","6,490,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,090","2,210", , 
  EPS＜당기＞,,,,,-4,, , 
펼치기 PBR,,,,,1.07,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,090","2,210", , 
  BPS＜당기＞,,,,,"1,960",, , 
펼치기 PCR,,,,,-209.07,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,090","2,210", , 
  CPS＜당기＞,,,,,-10,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,090","2,210", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-300.74,, , 
  EV＜당기＞,,,,,152.7,, , 
  EBITDA＜당기＞,,,,,-0.5,, , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
