항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,92,308,338,-538,"-1,579",,-194, 
  당기순이익(지배)＜당기＞,7.6,25.5,28.1,-50.0,-147.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,278,185","8,278,185","8,314,870","9,308,185","9,308,185",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,332","1,581","2,409","1,887",383,,-80, 
  자본총계(지배)＜당기＞,110.3,130.9,224.2,175.7,35.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,278,185","8,278,185","9,308,185","9,308,185","9,308,185",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,232,970,322,-554,-570,,-3, 
  영업활동현금흐름＜당기＞,19.2,80.3,26.8,-51.5,-53.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,278,185","8,278,185","8,314,870","9,308,185","9,308,185",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,945","4,605","5,849","2,348","1,446",,-38, 
  매출액＜당기＞,243.8,381.2,486.3,218.5,134.6,, , 
  보통주수정평균발행주식수＜당기＞,"8,278,185","8,278,185","8,314,870","9,308,185","9,308,185",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,28.69,N/A,N/A,,78.79, 
  보통주수정주가(기말)＜당기＞,,,"9,710","6,630","4,130","3,710", , 
  EPS＜당기＞,92,308,338,-538,"-1,579",, , 
펼치기 PBR,0.00,0.00,4.03,3.51,10.79,,207.19, 
  보통주수정주가(기말)＜당기＞,,,"9,710","6,630","4,130","3,710", , 
  BPS＜당기＞,"1,332","1,581","2,409","1,887",383,, , 
펼치기 PCR,0.00,0.00,30.16,-11.98,-7.25,,39.46, 
  보통주수정주가(기말)＜당기＞,,,"9,710","6,630","4,130","3,710", , 
  CPS＜당기＞,232,970,322,-554,-570,, , 
펼치기 PSR,0.00,0.00,1.66,2.82,2.86,,1.15, 
  보통주수정주가(기말)＜당기＞,,,"9,710","6,630","4,130","3,710", , 
  SPS＜당기＞,"2,945","4,605","5,849","2,348","1,446",, , 
펼치기 EV/EBITDA,,,18.97,-13.92,-4.71,,66.14, 
  EV＜당기＞,,,857.8,663.7,486.7,, , 
  EBITDA＜당기＞,29.2,46.1,45.2,-47.7,-103.3,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
