항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-253,-270,"-1,092","-1,677",-995,,41, 
  당기순이익(지배)＜당기＞,-14.7,-19.4,-86.1,-136.0,-88.5,, , 
  보통주수정평균발행주식수＜당기＞,"5,433,088","5,506,660","5,506,660","6,137,778","8,399,293","9,277,746", , 
  우선주수정평균발행주식수＜당기＞,"368,432","1,703,384","2,371,344","1,970,742","494,804","86,648", , 
펼치기 BPS,48,720,"-2,296",-264,"1,468",,656, 
  자본총계(지배)＜당기＞,3.3,56.7,-180.9,-22.8,137.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,506,660","5,506,660","5,506,660","7,963,994","9,277,746","9,277,746", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,369,404","2,371,344","2,371,344","661,848","86,648","86,648", , 
펼치기 CPS,-243,-252,-276,-431,-519,,-20, 
  영업활동현금흐름＜당기＞,-14.1,-18.1,-21.8,-35.0,-46.1,, , 
  보통주수정평균발행주식수＜당기＞,"5,433,088","5,506,660","5,506,660","6,137,778","8,399,293","9,277,746", , 
  우선주수정평균발행주식수＜당기＞,"368,432","1,703,384","2,371,344","1,970,742","494,804","86,648", , 
펼치기 SPS,247,123,30,128,106,,-17, 
  매출액＜당기＞,14.3,8.9,2.4,10.4,9.4,, , 
  보통주수정평균발행주식수＜당기＞,"5,433,088","5,506,660","5,506,660","6,137,778","8,399,293","9,277,746", , 
  우선주수정평균발행주식수＜당기＞,"368,432","1,703,384","2,371,344","1,970,742","494,804","86,648", , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,300","10,450", , 
  EPS＜당기＞,-253,-270,"-1,092","-1,677",-995,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,12.47,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,300","10,450", , 
  BPS＜당기＞,48,720,"-2,296",-264,"1,468",, , 
펼치기 PCR,,,,,-35.29,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,300","10,450", , 
  CPS＜당기＞,-243,-252,-276,-431,-519,, , 
펼치기 PSR,,,,,172.48,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,300","10,450", , 
  SPS＜당기＞,247,123,30,128,106,, , 
펼치기 EV/EBITDA,,,,,-21.46,, , 
  EV＜당기＞,,,,,"1,560.7",, , 
  EBITDA＜당기＞,-12.6,-15.0,-40.8,-47.9,-72.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
