항목,2017/12,2018/12,"2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-4,548","-5,503","-2,711",-493,-400,,19, 
  당기순이익(지배)＜당기＞,-296.1,-494.6,-289.0,-114.7,-158.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,510,193","8,987,627","10,663,404","23,267,001","39,529,717","47,952,433", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,982","1,483",639,625,501,,-20, 
  자본총계(지배)＜당기＞,613.1,136.0,135.3,189.8,240.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,781,184","9,167,812","21,160,473","30,386,027","47,951,389","47,951,389", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-600,-105,-106,-177,-63,,65, 
  영업활동현금흐름＜당기＞,-39.1,-9.5,-11.3,-41.1,-24.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,510,193","8,987,627","10,663,404","23,267,001","39,529,717","47,952,433", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"14,686","9,681","1,721",903,317,,-65, 
  매출액＜당기＞,956.1,870.1,183.6,210.2,125.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,510,193","8,987,627","10,663,404","23,267,001","39,529,717","47,952,433", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,30.58, 
  보통주수정주가(기말)＜당기＞,"3,420","3,910","1,845","1,650",930,"1,045", , 
  EPS＜당기＞,"-4,548","-5,503","-2,711",-493,-400,, , 
펼치기 PBR,0.49,2.64,2.89,2.64,1.85,,-29.77, 
  보통주수정주가(기말)＜당기＞,"3,420","3,910","1,845","1,650",930,"1,045", , 
  BPS＜당기＞,"6,982","1,483",639,625,501,, , 
펼치기 PCR,-5.70,-37.14,-17.36,-9.33,-14.86,,-59.28, 
  보통주수정주가(기말)＜당기＞,"3,420","3,910","1,845","1,650",930,"1,045", , 
  CPS＜당기＞,-600,-105,-106,-177,-63,, , 
펼치기 PSR,0.23,0.40,1.07,1.83,2.93,,60.42, 
  보통주수정주가(기말)＜당기＞,"3,420","3,910","1,845","1,650",930,"1,045", , 
  SPS＜당기＞,"14,686","9,681","1,721",903,317,, , 
펼치기 EV/EBITDA,15.69,-14.03,173.31,-324.97,-13.31,,95.90, 
  EV＜당기＞,773.8,814.7,609.6,890.0,493.9,, , 
  EBITDA＜당기＞,49.3,-58.1,3.5,-2.7,-37.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
