항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,348,77,238,"24,709","1,985",,-92, 
  당기순이익(지배)＜당기＞,34.0,7.6,23.2,"3,452.5",494.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,780,000","9,780,000","9,780,000","13,972,272","24,799,105","26,356,298", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"117,808","1,000,000", , 
펼치기 BPS,"14,632","14,565","14,265","34,772","27,529",,-21, 
  자본총계(지배)＜당기＞,"1,431.0","1,424.4","1,395.2","6,034.5","7,320.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,780,000","9,780,000","9,780,000","17,354,338","25,591,661","25,591,661", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"1,000,000","1,000,000", , 
펼치기 CPS,68,470,594,"3,380","1,708",,-49, 
  영업활동현금흐름＜당기＞,6.6,45.9,58.1,472.2,425.6,, , 
  보통주수정평균발행주식수＜당기＞,"9,780,000","9,780,000","9,780,000","13,972,272","24,799,105","26,356,298", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"117,808","1,000,000", , 
펼치기 SPS,"1,247","1,527","2,072","34,311","75,166",,119, 
  매출액＜당기＞,122.0,149.3,202.6,"4,794.0","18,729.0",, , 
  보통주수정평균발행주식수＜당기＞,"9,780,000","9,780,000","9,780,000","13,972,272","24,799,105","26,356,298", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"117,808","1,000,000", , 
펼치기 PER,34.64,132.73,42.17,0.49,6.95,,"1,333.16", 
  보통주수정주가(기말)＜당기＞,"12,038","10,269","10,024","11,989","13,800","12,350", , 
  EPS＜당기＞,348,77,238,"24,709","1,985",, , 
펼치기 PBR,0.82,0.71,0.70,0.34,0.50,,45.39, 
  보통주수정주가(기말)＜당기＞,"12,038","10,269","10,024","11,989","13,800","12,350", , 
  BPS＜당기＞,"14,632","14,565","14,265","34,772","27,529",, , 
펼치기 PCR,177.35,21.87,16.87,3.55,8.08,,127.75, 
  보통주수정주가(기말)＜당기＞,"12,038","10,269","10,024","11,989","13,800","12,350", , 
  CPS＜당기＞,68,470,594,"3,380","1,708",, , 
펼치기 PSR,9.65,6.73,4.84,0.35,0.18,,-47.46, 
  보통주수정주가(기말)＜당기＞,"12,038","10,269","10,024","11,989","13,800","12,350", , 
  SPS＜당기＞,"1,247","1,527","2,072","34,311","75,166",, , 
펼치기 EV/EBITDA,46.97,33.20,20.60,14.26,4.80,,-66.34, 
  EV＜당기＞,"1,288.7","1,303.1","1,457.7","5,525.5","8,480.8",, , 
  EBITDA＜당기＞,27.4,39.3,70.7,387.4,"1,766.6",, , 
펼치기 DPS,125,125,175,175,175,,0, 
  현금DPS,125,125,175,175,175,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.04,1.22,1.75,1.46,1.27,,-0.19, 
  현금배당성향(%),35.97,161.57,73.62,0.88,9.42,,8.54, 
