항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,357,31,"-1,070",-276,64,,123, 
  당기순이익(지배)＜당기＞,31.5,2.7,-94.2,-24.3,6.2,, , 
  보통주수정평균발행주식수＜당기＞,"8,800,000","8,800,000","8,800,000","8,800,000","9,786,624","10,794,010", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,665","9,453","8,544","8,463","7,370",,-13, 
  자본총계(지배)＜당기＞,850.5,831.8,751.8,744.7,752.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,800,000","8,800,000","8,800,000","8,800,000","10,206,010","10,206,010", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,195,829,516,84,-394,,-571, 
  영업활동현금흐름＜당기＞,17.1,73.0,45.4,7.4,-38.6,, , 
  보통주수정평균발행주식수＜당기＞,"8,800,000","8,800,000","8,800,000","8,800,000","9,786,624","10,794,010", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,320","4,010","4,208","4,010","4,099",,2, 
  매출액＜당기＞,380.2,352.9,370.3,352.9,401.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,800,000","8,800,000","8,800,000","8,800,000","9,786,624","10,794,010", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,24.79,172.63,N/A,N/A,120.31,,540.99, 
  보통주수정주가(기말)＜당기＞,"8,860","5,360","5,940","7,530","7,650","6,070", , 
  EPS＜당기＞,357,31,"-1,070",-276,64,, , 
펼치기 PBR,0.92,0.57,0.70,0.89,1.04,,16.65, 
  보통주수정주가(기말)＜당기＞,"8,860","5,360","5,940","7,530","7,650","6,070", , 
  BPS＜당기＞,"9,665","9,453","8,544","8,463","7,370",, , 
펼치기 PCR,45.50,6.46,11.50,89.92,-19.40,,-121.58, 
  보통주수정주가(기말)＜당기＞,"8,860","5,360","5,940","7,530","7,650","6,070", , 
  CPS＜당기＞,195,829,516,84,-394,, , 
펼치기 PSR,2.05,1.34,1.41,1.88,1.87,,-0.60, 
  보통주수정주가(기말)＜당기＞,"8,860","5,360","5,940","7,530","7,650","6,070", , 
  SPS＜당기＞,"4,320","4,010","4,208","4,010","4,099",, , 
펼치기 EV/EBITDA,10.05,15.40,-88.90,"-2,829.71",22.71,,100.80, 
  EV＜당기＞,763.8,450.0,493.1,675.4,869.9,, , 
  EBITDA＜당기＞,76.0,29.2,-5.5,-0.2,38.3,, , 
펼치기 DPS,281,0,0,70,,, , 
  현금DPS,281,0,0,70,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.17,0.00,0.00,0.93,,, , 
  현금배당성향(%),78.61,0.00,0.00,-25.36,,, , 
