항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,109,20,"1,903",270,183,,-32, 
  당기순이익(지배)＜당기＞,13.7,2.8,336.9,76.3,51.7,, , 
  보통주수정평균발행주식수＜당기＞,"12,563,216","13,810,466","17,704,702","28,217,081","28,217,081","28,217,081", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,227","4,204","4,404","5,260","5,512",,5, 
  자본총계(지배)＜당기＞,531.9,601.5,"1,242.8","1,305.4","1,368.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,583,016","14,309,144","28,217,081","24,818,613","24,818,613","24,818,613", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-22,191,101,136,-23,,-117, 
  영업활동현금흐름＜당기＞,-2.8,26.4,17.8,38.3,-6.5,, , 
  보통주수정평균발행주식수＜당기＞,"12,563,216","13,810,466","17,704,702","28,217,081","28,217,081","28,217,081", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,305","1,138",894,"1,096","1,265",,15, 
  매출액＜당기＞,163.9,157.1,158.3,309.2,356.9,, , 
  보통주수정평균발행주식수＜당기＞,"12,563,216","13,810,466","17,704,702","28,217,081","28,217,081","28,217,081", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,31.08,156.98,1.46,23.50,51.89,,120.86, 
  보통주수정주가(기말)＜당기＞,"3,395","3,195","2,780","6,350","9,510","8,150", , 
  EPS＜당기＞,109,20,"1,903",270,183,, , 
펼치기 PBR,0.80,0.76,0.63,1.21,1.73,,42.91, 
  보통주수정주가(기말)＜당기＞,"3,395","3,195","2,780","6,350","9,510","8,150", , 
  BPS＜당기＞,"4,227","4,204","4,404","5,260","5,512",, , 
펼치기 PCR,-153.19,16.70,27.63,46.74,-413.43,,-984.45, 
  보통주수정주가(기말)＜당기＞,"3,395","3,195","2,780","6,350","9,510","8,150", , 
  CPS＜당기＞,-22,191,101,136,-23,, , 
펼치기 PSR,2.60,2.81,3.11,5.79,7.52,,29.74, 
  보통주수정주가(기말)＜당기＞,"3,395","3,195","2,780","6,350","9,510","8,150", , 
  SPS＜당기＞,"1,305","1,138",894,"1,096","1,265",, , 
펼치기 EV/EBITDA,39.72,38.32,57.35,47.20,56.99,,20.73, 
  EV＜당기＞,691.2,657.0,622.6,"2,068.1","2,989.9",, , 
  EBITDA＜당기＞,17.4,17.1,10.9,43.8,52.5,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
