항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,340,114,155,-260,-314,, , 
  당기순이익(지배)＜당기＞,18.9,6.5,9.9,-19.5,-24.1,, , 
  보통주수정평균발행주식수＜당기＞,"4,908,150","5,176,417","6,240,734","7,496,995","7,659,385","7,727,223", , 
  우선주수정평균발행주식수＜당기＞,"657,970","493,598","149,770",0,0,0, , 
펼치기 BPS,684,985,"2,897","2,644","2,347",, , 
  자본총계(지배)＜당기＞,38.6,56.7,215.5,200.5,180.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,145,130","5,425,120","7,440,555","7,583,555","7,683,055","7,744,587", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"499,990","333,330",0,0,0,, , 
펼치기 CPS,324,438,405,98,-36,, , 
  영업활동현금흐름＜당기＞,18.1,24.8,25.9,7.3,-2.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,908,150","5,176,417","6,240,734","7,496,995","7,659,385","7,727,223", , 
  우선주수정평균발행주식수＜당기＞,"657,970","493,598","149,770",0,0,0, , 
펼치기 SPS,"1,426","1,507","1,521","1,092","1,158",, , 
  매출액＜당기＞,79.4,85.4,97.2,81.9,88.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,908,150","5,176,417","6,240,734","7,496,995","7,659,385","7,727,223", , 
  우선주수정평균발행주식수＜당기＞,"657,970","493,598","149,770",0,0,0, , 
펼치기 PER,,,51.83,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,"8,010","7,710","11,550","12,450", , 
  EPS＜당기＞,340,114,155,-260,-314,, , 
펼치기 PBR,0.00,0.00,2.77,2.92,4.92,, , 
  보통주수정주가(기말)＜당기＞,,,"8,010","7,710","11,550","12,450", , 
  BPS＜당기＞,684,985,"2,897","2,644","2,347",, , 
펼치기 PCR,,,19.76,78.90,-325.31,, , 
  보통주수정주가(기말)＜당기＞,,,"8,010","7,710","11,550","12,450", , 
  CPS＜당기＞,324,438,405,98,-36,, , 
펼치기 PSR,,,5.27,7.06,9.97,, , 
  보통주수정주가(기말)＜당기＞,,,"8,010","7,710","11,550","12,450", , 
  SPS＜당기＞,"1,426","1,507","1,521","1,092","1,158",, , 
펼치기 EV/EBITDA,,,22.99,499.78,136.13,, , 
  EV＜당기＞,,,499.5,513.5,876.0,, , 
  EBITDA＜당기＞,28.3,28.2,21.7,1.0,6.4,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
