항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,624,462,430,418,263,,-37, 
  당기순이익(지배)＜당기＞,42.1,31.2,29.0,28.2,17.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,751,000","6,751,000","6,751,000","6,751,000","6,751,000","6,751,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"10,386","10,766","11,277","11,630","11,803",,1, 
  자본총계(지배)＜당기＞,701.1,726.8,761.3,785.1,796.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,751,000","6,751,000","6,751,000","6,751,000","6,751,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,651,767,805,529,69,,-87, 
  영업활동현금흐름＜당기＞,43.9,51.8,54.3,35.7,4.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,751,000","6,751,000","6,751,000","6,751,000","6,751,000","6,751,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,428","2,410","2,370","3,400","3,706",,9, 
  매출액＜당기＞,163.9,162.7,160.0,229.6,250.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,751,000","6,751,000","6,751,000","6,751,000","6,751,000","6,751,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.66,14.71,17.32,31.58,70.08,,121.93, 
  보통주수정주가(기말)＜당기＞,"9,150","6,800","7,450","13,200","18,400","13,000", , 
  EPS＜당기＞,624,462,430,418,263,, , 
펼치기 PBR,0.88,0.63,0.66,1.14,1.56,,37.35, 
  보통주수정주가(기말)＜당기＞,"9,150","6,800","7,450","13,200","18,400","13,000", , 
  BPS＜당기＞,"10,386","10,766","11,277","11,630","11,803",, , 
펼치기 PCR,14.07,8.87,9.26,24.96,265.89,,965.30, 
  보통주수정주가(기말)＜당기＞,"9,150","6,800","7,450","13,200","18,400","13,000", , 
  CPS＜당기＞,651,767,805,529,69,, , 
펼치기 PSR,3.77,2.82,3.14,3.88,4.97,,27.91, 
  보통주수정주가(기말)＜당기＞,"9,150","6,800","7,450","13,200","18,400","13,000", , 
  SPS＜당기＞,"2,428","2,410","2,370","3,400","3,706",, , 
펼치기 EV/EBITDA,3.85,2.62,2.63,15.31,22.62,,47.77, 
  EV＜당기＞,221.5,113.9,119.9,716.9,"1,134.7",, , 
  EBITDA＜당기＞,57.5,43.5,45.6,46.8,50.2,, , 
펼치기 DPS,125,75,75,125,125,,0, 
  현금DPS,125,75,75,125,125,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.37,1.10,1.01,0.95,0.68,,-0.27, 
  현금배당성향(%),20.03,16.23,17.44,29.90,47.61,,17.71, 
