항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,24,56,87,80,-13,,-117, 
  당기순이익(지배)＜당기＞,6.2,14.6,22.6,20.8,-3.6,, , 
  보통주수정평균발행주식수＜당기＞,"25,953,113","25,939,075","25,939,075","25,961,047","26,932,084","27,791,646", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,212,268,355,582,"1,005",,73, 
  자본총계(지배)＜당기＞,54.9,69.6,92.1,156.8,270.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,939,075","25,939,075","25,939,075","26,932,084","26,932,084","28,192,084", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,80,132,155,107,18,,-83, 
  영업활동현금흐름＜당기＞,20.8,34.2,40.3,27.9,4.9,, , 
  보통주수정평균발행주식수＜당기＞,"25,953,113","25,939,075","25,939,075","25,961,047","26,932,084","27,791,646", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,771,907,"1,147","1,111","1,290",,16, 
  매출액＜당기＞,200.0,235.2,297.5,288.4,347.5,, , 
  보통주수정평균발행주식수＜당기＞,"25,953,113","25,939,075","25,939,075","25,961,047","26,932,084","27,791,646", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"3,090","2,875", , 
  EPS＜당기＞,24,56,87,80,-13,, , 
펼치기 PBR,,,,,3.08,, , 
  보통주수정주가(기말)＜당기＞,,,,,"3,090","2,875", , 
  BPS＜당기＞,212,268,355,582,"1,005",, , 
펼치기 PCR,,,,,168.46,, , 
  보통주수정주가(기말)＜당기＞,,,,,"3,090","2,875", , 
  CPS＜당기＞,80,132,155,107,18,, , 
펼치기 PSR,,,,,2.39,, , 
  보통주수정주가(기말)＜당기＞,,,,,"3,090","2,875", , 
  SPS＜당기＞,771,907,"1,147","1,111","1,290",, , 
펼치기 EV/EBITDA,,,,,24.78,, , 
  EV＜당기＞,,,,,692.4,, , 
  EBITDA＜당기＞,18.3,24.0,34.2,33.1,27.9,, , 
펼치기 DPS,0,0,0,0,20,, , 
  현금DPS,0,0,0,0,20,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.65,,0.65, 
  현금배당성향(%),0.00,0.00,0.00,0.00,-150.39,,-150.39, 
