항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,916,"2,015","3,661","3,643","2,511",, , 
  당기순이익(지배)＜당기＞,49.4,108.6,197.4,196.4,135.4,, , 
  보통주수정평균발행주식수＜당기＞,"5,392,115","5,392,115","5,392,115","5,392,115","5,392,115","5,392,115", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"10,007","11,862","15,294","18,258","20,444",, , 
  자본총계(지배)＜당기＞,531.4,629.9,812.1,958.4,"1,072.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,309,941","5,309,941","5,309,941","5,249,323","5,246,540","5,246,540", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,082","2,415","3,965","2,776","1,958",, , 
  영업활동현금흐름＜당기＞,58.3,130.2,213.8,149.7,105.6,, , 
  보통주수정평균발행주식수＜당기＞,"5,392,115","5,392,115","5,392,115","5,392,115","5,392,115","5,392,115", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,455","11,889","23,787","26,527","19,357",, , 
  매출액＜당기＞,402.0,641.1,"1,282.6","1,430.4","1,043.8",, , 
  보통주수정평균발행주식수＜당기＞,"5,392,115","5,392,115","5,392,115","5,392,115","5,392,115","5,392,115", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,34.51,20.40,14.25,12.34,14.22,, , 
  보통주수정주가(기말)＜당기＞,"31,621","41,112","52,177","44,950","35,700","37,250", , 
  EPS＜당기＞,916,"2,015","3,661","3,643","2,511",, , 
펼치기 PBR,3.16,3.47,3.41,2.46,1.75,, , 
  보통주수정주가(기말)＜당기＞,"31,621","41,112","52,177","44,950","35,700","37,250", , 
  BPS＜당기＞,"10,007","11,862","15,294","18,258","20,444",, , 
펼치기 PCR,29.22,17.02,13.16,16.19,18.23,, , 
  보통주수정주가(기말)＜당기＞,"31,621","41,112","52,177","44,950","35,700","37,250", , 
  CPS＜당기＞,"1,082","2,415","3,965","2,776","1,958",, , 
펼치기 PSR,4.24,3.46,2.19,1.69,1.84,, , 
  보통주수정주가(기말)＜당기＞,"31,621","41,112","52,177","44,950","35,700","37,250", , 
  SPS＜당기＞,"7,455","11,889","23,787","26,527","19,357",, , 
펼치기 EV/EBITDA,23.24,13.58,9.11,7.26,8.66,, , 
  EV＜당기＞,"1,351.6","1,746.8","2,217.8","1,765.6","1,349.9",, , 
  EBITDA＜당기＞,58.2,128.6,243.4,243.1,155.8,, , 
펼치기 DPS,191,286,381,405,400,, , 
  현금DPS,191,286,381,381,400,, , 
  주식DPS,0,0,0,24,0,, , 
  현금배당수익률,0.60,0.70,0.73,0.85,1.12,, , 
  현금배당성향(%),20.48,13.97,10.25,10.18,15.50,, , 
