항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,666,575,883,-789,-886,,-12, 
  당기순이익(지배)＜당기＞,40.0,43.9,68.8,-62.0,-69.9,, , 
  보통주수정평균발행주식수＜당기＞,"5,454,546","7,351,093","7,790,400","7,858,061","7,885,500","7,885,500", , 
  우선주수정평균발행주식수＜당기＞,"545,454","294,396",0,0,0,0, , 
펼치기 BPS,"2,106","4,955","5,855","5,086","4,611",,-9, 
  자본총계(지배)＜당기＞,126.4,384.6,457.8,401.0,363.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,454,546","7,761,300","7,818,100","7,885,500","7,885,500","7,885,500", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"545,454",0,0,0,0,, , 
펼치기 CPS,671,247,937,"-1,103",237,,122, 
  영업활동현금흐름＜당기＞,40.3,18.9,73.0,-86.7,18.7,, , 
  보통주수정평균발행주식수＜당기＞,"5,454,546","7,351,093","7,790,400","7,858,061","7,885,500","7,885,500", , 
  우선주수정평균발행주식수＜당기＞,"545,454","294,396",0,0,0,0, , 
펼치기 SPS,"5,881","6,549","7,695","3,397","2,730",,-20, 
  매출액＜당기＞,352.9,500.7,599.5,267.0,215.3,, , 
  보통주수정평균발행주식수＜당기＞,"5,454,546","7,351,093","7,790,400","7,858,061","7,885,500","7,885,500", , 
  우선주수정평균발행주식수＜당기＞,"545,454","294,396",0,0,0,0, , 
펼치기 PER,,17.37,13.71,N/A,N/A,,18.19, 
  보통주수정주가(기말)＜당기＞,,"9,980","12,100","8,700","8,000","11,850", , 
  EPS＜당기＞,666,575,883,-789,-886,, , 
펼치기 PBR,0.00,2.01,2.07,1.71,1.73,,1.42, 
  보통주수정주가(기말)＜당기＞,,"9,980","12,100","8,700","8,000","11,850", , 
  BPS＜당기＞,"2,106","4,955","5,855","5,086","4,611",, , 
펼치기 PCR,,40.33,12.92,-7.89,33.70,,527.21, 
  보통주수정주가(기말)＜당기＞,,"9,980","12,100","8,700","8,000","11,850", , 
  CPS＜당기＞,671,247,937,"-1,103",237,, , 
펼치기 PSR,,1.52,1.57,2.56,2.93,,14.43, 
  보통주수정주가(기말)＜당기＞,,"9,980","12,100","8,700","8,000","11,850", , 
  SPS＜당기＞,"5,881","6,549","7,695","3,397","2,730",, , 
펼치기 EV/EBITDA,,7.79,8.18,-11.90,-9.24,,22.33, 
  EV＜당기＞,,559.7,804.6,633.6,539.1,, , 
  EBITDA＜당기＞,59.6,71.8,98.4,-53.2,-58.3,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,,0.00,0.00,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
