항목,"2017/12
(GAAP개별)",2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,303,217,375,524,358,,-32, 
  당기순이익(지배)＜당기＞,29.7,21.3,36.7,51.4,35.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,800,000","9,800,000","9,800,000","9,800,000","9,854,904","9,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,772","1,268","1,586","2,048","4,446",,117, 
  자본총계(지배)＜당기＞,173.7,124.2,155.5,200.7,418.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,800,000","9,800,000","9,800,000","9,800,000","9,410,000","9,410,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,256,361,3,928,721,,-22, 
  영업활동현금흐름＜당기＞,25.1,35.4,0.2,91.0,71.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,800,000","9,800,000","9,800,000","9,800,000","9,854,904","9,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,173","1,180","1,481","1,558","1,591",,2, 
  매출액＜당기＞,115.0,115.6,145.1,152.7,156.8,, , 
  보통주수정평균발행주식수＜당기＞,"9,800,000","9,800,000","9,800,000","9,800,000","9,854,904","9,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,30.07,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,750","8,230", , 
  EPS＜당기＞,303,217,375,524,358,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.42,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,750","8,230", , 
  BPS＜당기＞,"1,772","1,268","1,586","2,048","4,446",, , 
펼치기 PCR,,,,,14.92,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,750","8,230", , 
  CPS＜당기＞,256,361,3,928,721,, , 
펼치기 PSR,,,,,6.76,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,750","8,230", , 
  SPS＜당기＞,"1,173","1,180","1,481","1,558","1,591",, , 
펼치기 EV/EBITDA,,,,,20.69,, , 
  EV＜당기＞,,,,,826.4,, , 
  EBITDA＜당기＞,31.3,33.5,27.9,52.6,39.9,, , 
펼치기 DPS,90,70,100,100,100,,0, 
  현금DPS,90,70,100,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,0.93,, , 
  현금배당성향(%),29.74,24.16,20.03,14.31,26.71,,12.40, 
