항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,482,86,40,45,146,,221, 
  당기순이익(지배)＜당기＞,377.8,68.0,31.7,35.9,115.3,, , 
  보통주수정평균발행주식수＜당기＞,"78,453,498","78,990,426","78,990,426","78,990,426","78,990,426",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,011","2,012","2,080","2,164","2,364",,9, 
  자본총계(지배)＜당기＞,"1,561.0","1,548.1","1,599.7","1,648.0","1,800.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"77,617,760","76,929,451","76,929,451","76,160,834","76,160,834","76,160,834", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,636,-93,120,206,-242,,-217, 
  영업활동현금흐름＜당기＞,498.6,-73.1,95.1,162.6,-190.9,, , 
  보통주수정평균발행주식수＜당기＞,"78,453,498","78,990,426","78,990,426","78,990,426","78,990,426",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,636","3,468","3,552","3,472","2,012",,-42, 
  매출액＜당기＞,"2,852.2","2,739.1","2,805.7","2,742.5","1,588.9",, , 
  보통주수정평균발행주식수＜당기＞,"78,453,498","78,990,426","78,990,426","78,990,426","78,990,426",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,7.43,37.09,74.55,48.96,18.35,,-62.51, 
  보통주수정주가(기말)＜당기＞,"3,580","3,195","2,995","2,225","2,680","2,290", , 
  EPS＜당기＞,482,86,40,45,146,, , 
펼치기 PBR,1.78,1.59,1.44,1.03,1.13,,10.25, 
  보통주수정주가(기말)＜당기＞,"3,580","3,195","2,995","2,225","2,680","2,290", , 
  BPS＜당기＞,"2,011","2,012","2,080","2,164","2,364",, , 
펼치기 PCR,5.63,-34.53,24.89,10.81,-11.09,,-202.54, 
  보통주수정주가(기말)＜당기＞,"3,580","3,195","2,995","2,225","2,680","2,290", , 
  CPS＜당기＞,636,-93,120,206,-242,, , 
펼치기 PSR,0.98,0.92,0.84,0.64,1.33,,107.90, 
  보통주수정주가(기말)＜당기＞,"3,580","3,195","2,995","2,225","2,680","2,290", , 
  SPS＜당기＞,"3,636","3,468","3,552","3,472","2,012",, , 
펼치기 EV/EBITDA,3.76,12.02,9.02,7.12,-17.01,,-338.73, 
  EV＜당기＞,"2,141.9","2,338.3","2,179.7","1,330.1","2,325.2",, , 
  EBITDA＜당기＞,569.4,194.6,241.6,186.7,-136.7,, , 
펼치기 DPS,40,20,20,20,20,,0, 
  현금DPS,40,20,20,20,20,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.12,0.63,0.67,0.90,0.75,,-0.15, 
  현금배당성향(%),8.22,22.61,48.49,42.43,13.21,,-29.23, 
