항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,870,374,-117,-413,-713,,-73, 
  당기순이익(지배)＜당기＞,104.4,44.9,-16.6,-59.0,-101.9,, , 
  보통주수정평균발행주식수＜당기＞,"12,000,000","12,000,000","14,152,212","14,296,950","14,296,950","15,310,250", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,973","3,347","3,932","3,452","3,041",,-12, 
  자본총계(지배)＜당기＞,356.8,401.7,562.1,493.6,434.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,000,000","12,000,000","14,296,950","14,296,950","14,296,950","15,582,584", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,411",166,453,"-1,549",-992,,36, 
  영업활동현금흐름＜당기＞,169.3,20.0,64.1,-221.5,-141.8,, , 
  보통주수정평균발행주식수＜당기＞,"12,000,000","12,000,000","14,152,212","14,296,950","14,296,950","15,310,250", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,359","7,731","5,425","1,396",205,,-85, 
  매출액＜당기＞,763.1,927.8,767.8,199.6,29.3,, , 
  보통주수정평균발행주식수＜당기＞,"12,000,000","12,000,000","14,152,212","14,296,950","14,296,950","15,310,250", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,,-4.95, 
  보통주수정주가(기말)＜당기＞,,,"5,165","7,973","14,450","10,850", , 
  EPS＜당기＞,870,374,-117,-413,-713,, , 
펼치기 PBR,0.00,0.00,1.31,2.31,4.75,,105.72, 
  보통주수정주가(기말)＜당기＞,,,"5,165","7,973","14,450","10,850", , 
  BPS＜당기＞,"2,973","3,347","3,932","3,452","3,041",, , 
펼치기 PCR,,,11.40,-5.15,-14.56,,-182.99, 
  보통주수정주가(기말)＜당기＞,,,"5,165","7,973","14,450","10,850", , 
  CPS＜당기＞,"1,411",166,453,"-1,549",-992,, , 
펼치기 PSR,,,0.95,5.71,70.55,,"1,135.27", 
  보통주수정주가(기말)＜당기＞,,,"5,165","7,973","14,450","10,850", , 
  SPS＜당기＞,"6,359","7,731","5,425","1,396",205,, , 
펼치기 EV/EBITDA,,,35.99,-36.37,-17.18,,52.76, 
  EV＜당기＞,,,441.0,"1,091.6","2,118.8",, , 
  EBITDA＜당기＞,143.7,56.9,12.3,-30.0,-123.3,, , 
펼치기 DPS,0,123,67,0,0,, , 
  현금DPS,0,123,67,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,1.29,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,30.81,-57.56,0.00,,, , 
