항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,86,18,56,144,137,,-4, 
  당기순이익(지배)＜당기＞,22.1,4.7,14.3,41.6,42.9,, , 
  보통주수정평균발행주식수＜당기＞,"25,520,400","25,520,400","25,520,400","29,000,000","31,213,305","39,357,140", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,274,293,341,682,"1,331",,95, 
  자본총계(지배)＜당기＞,70.0,74.6,86.9,197.9,523.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,520,400","25,520,400","25,520,400","29,000,000","39,357,140","38,627,929", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,202,-66,139,189,89,,-53, 
  영업활동현금흐름＜당기＞,51.5,-16.7,35.4,54.9,27.7,, , 
  보통주수정평균발행주식수＜당기＞,"25,520,400","25,520,400","25,520,400","29,000,000","31,213,305","39,357,140", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,496,345,516,593,626,,6, 
  매출액＜당기＞,126.7,88.0,131.7,171.9,195.4,, , 
  보통주수정평균발행주식수＜당기＞,"25,520,400","25,520,400","25,520,400","29,000,000","31,213,305","39,357,140", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,33.56,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,610","3,220", , 
  EPS＜당기＞,86,18,56,144,137,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,3.46,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,610","3,220", , 
  BPS＜당기＞,274,293,341,682,"1,331",, , 
펼치기 PCR,,,,,51.94,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,610","3,220", , 
  CPS＜당기＞,202,-66,139,189,89,, , 
펼치기 PSR,,,,,7.36,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,610","3,220", , 
  SPS＜당기＞,496,345,516,593,626,, , 
펼치기 EV/EBITDA,,,,,29.54,, , 
  EV＜당기＞,,,,,"1,844.2",, , 
  EBITDA＜당기＞,41.2,25.9,38.5,71.4,62.4,, , 
펼치기 DPS,0,8,20,0,22,, , 
  현금DPS,0,8,20,0,22,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.48,, , 
  현금배당성향(%),0.00,42.85,35.04,0.00,20.20,,20.20, 
