항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,699,784,798,"1,389","1,945","2,062", ,6
  당기순이익(지배)＜당기＞,167.7,188.1,191.6,333.4,468.3,512.0, , 
  보통주수정평균발행주식수＜당기＞,"24,010,012","24,010,012","24,010,012","24,010,012","24,077,505","24,831,179", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,102","5,872","6,663","8,030","11,561","13,845", ,20
  자본총계(지배)＜당기＞,"1,224.8","1,409.5","1,599.4","1,927.6","2,870.1","3,432.8", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,004,484","24,004,484","24,004,484","24,004,484","24,825,651","24,793,509", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,822,340,923,"1,770","1,848","2,360", ,28
  영업활동현금흐름＜당기＞,197.5,81.6,221.6,424.9,444.8,582.3, , 
  보통주수정평균발행주식수＜당기＞,"24,010,012","24,010,012","24,010,012","24,010,012","24,077,505","24,831,179", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,182","3,777","4,076","6,004","7,948","8,343", ,5
  매출액＜당기＞,"1,004.1",906.9,978.7,"1,441.6","1,913.6","2,071.7", , 
  보통주수정평균발행주식수＜당기＞,"24,010,012","24,010,012","24,010,012","24,010,012","24,077,505","24,831,179", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,35.22,18.12,32.96,25.09,28.94,21.07, ,-27.19
  보통주수정주가(기말)＜당기＞,"24,600","14,200","26,300","34,850","56,300","43,450", , 
  EPS＜당기＞,699,784,798,"1,389","1,945","2,062", , 
펼치기 PBR,4.82,2.42,3.95,4.34,4.87,3.14, ,-35.56
  보통주수정주가(기말)＜당기＞,"24,600","14,200","26,300","34,850","56,300","43,450", , 
  BPS＜당기＞,"5,102","5,872","6,663","8,030","11,561","13,845", , 
펼치기 PCR,29.91,41.79,28.50,19.69,30.47,18.41, ,-39.57
  보통주수정주가(기말)＜당기＞,"24,600","14,200","26,300","34,850","56,300","43,450", , 
  CPS＜당기＞,822,340,923,"1,770","1,848","2,360", , 
펼치기 PSR,5.88,3.76,6.45,5.80,7.08,5.21, ,-26.48
  보통주수정주가(기말)＜당기＞,"24,600","14,200","26,300","34,850","56,300","43,450", , 
  SPS＜당기＞,"4,182","3,777","4,076","6,004","7,948","8,343", , 
펼치기 EV/EBITDA,25.05,12.68,23.97,17.46,22.37,13.85, ,-38.09
  EV＜당기＞,"5,439.3","3,037.8","5,938.9","7,873.4","12,830.4","9,217.4", , 
  EBITDA＜당기＞,217.1,239.7,247.8,451.0,573.6,665.6, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
