항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-30,-82,-79,-110,-153,,-39, 
  당기순이익(지배)＜당기＞,-26.2,-79.4,-80.3,-114.5,-162.1,, , 
  보통주수정평균발행주식수＜당기＞,"86,413,061","97,016,400","100,945,402","103,592,575","105,907,882","110,509,069", , 
  우선주수정평균발행주식수＜당기＞,"919,995","386,192","316,516","143,556",0,0, , 
펼치기 BPS,65,80,48,118,110,,-7, 
  자본총계(지배)＜당기＞,61.5,80.2,49.5,123.5,121.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"93,481,446","99,771,961","102,458,042","104,931,118","110,278,292","110,554,377", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"919,995","316,516","316,516",0,0,0, , 
펼치기 CPS,-46,-54,-69,-73,-87,,-18, 
  영업활동현금흐름＜당기＞,-40.1,-52.5,-69.5,-76.1,-92.0,, , 
  보통주수정평균발행주식수＜당기＞,"86,413,061","97,016,400","100,945,402","103,592,575","105,907,882","110,509,069", , 
  우선주수정평균발행주식수＜당기＞,"919,995","386,192","316,516","143,556",0,0, , 
펼치기 SPS,25,0,0,0,16,, , 
  매출액＜당기＞,21.8,,,,16.6,, , 
  보통주수정평균발행주식수＜당기＞,"86,413,061","97,016,400","100,945,402","103,592,575","105,907,882","110,509,069", , 
  우선주수정평균발행주식수＜당기＞,"919,995","386,192","316,516","143,556",0,0, , 
펼치기 PER,,,,N/A,N/A,,59.31, 
  보통주수정주가(기말)＜당기＞,,,,"4,500","2,540","2,485", , 
  EPS＜당기＞,-30,-82,-79,-110,-153,, , 
펼치기 PBR,,,,38.23,23.14,,-39.46, 
  보통주수정주가(기말)＜당기＞,,,,"4,500","2,540","2,485", , 
  BPS＜당기＞,65,80,48,118,110,, , 
펼치기 PCR,,,,-61.36,-29.26,,52.32, 
  보통주수정주가(기말)＜당기＞,,,,"4,500","2,540","2,485", , 
  CPS＜당기＞,-46,-54,-69,-73,-87,, , 
펼치기 PSR,,,,,161.82,, , 
  보통주수정주가(기말)＜당기＞,,,,"4,500","2,540","2,485", , 
  SPS＜당기＞,25,0,0,0,16,, , 
펼치기 EV/EBITDA,,,,-50.97,-25.33,,50.31, 
  EV＜당기＞,,,,"4,569.9","2,636.4",, , 
  EBITDA＜당기＞,-22.8,-73.7,-76.7,-89.7,-104.1,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
