항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-18,119","-19,277",-940,-181,-562,,-210, 
  당기순이익(지배)＜당기＞,-211.1,-285.8,-22.3,-13.3,-75.0,, , 
  보통주수정평균발행주식수＜당기＞,"1,164,985","1,482,838","2,374,833","7,320,353","13,347,516","19,812,563", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,191,"-6,175",703,545,284,,-48, 
  자본총계(지배)＜당기＞,2.4,-96.7,51.3,59.2,55.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"1,265,258","1,566,142","7,291,079","10,862,507","19,633,933","19,833,933", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-590,"-2,965","-1,874",-364,-329,,10, 
  영업활동현금흐름＜당기＞,-6.9,-44.0,-44.5,-26.7,-43.9,, , 
  보통주수정평균발행주식수＜당기＞,"1,164,985","1,482,838","2,374,833","7,320,353","13,347,516","19,812,563", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"18,098","9,750","1,589","1,192",874,,-27, 
  매출액＜당기＞,210.8,144.6,37.7,87.2,116.6,, , 
  보통주수정평균발행주식수＜당기＞,"1,164,985","1,482,838","2,374,833","7,320,353","13,347,516","19,812,563", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,67.76, 
  보통주수정주가(기말)＜당기＞,"28,256","4,560","4,460","4,460","4,460","4,460", , 
  EPS＜당기＞,"-18,119","-19,277",-940,-181,-562,, , 
펼치기 PBR,147.78,N/A,6.34,8.19,15.70,,91.75, 
  보통주수정주가(기말)＜당기＞,"28,256","4,560","4,460","4,460","4,460","4,460", , 
  BPS＜당기＞,191,"-6,175",703,545,284,, , 
펼치기 PCR,-47.92,-1.54,-2.38,-12.24,-13.55,,-10.70, 
  보통주수정주가(기말)＜당기＞,"28,256","4,560","4,460","4,460","4,460","4,460", , 
  CPS＜당기＞,-590,"-2,965","-1,874",-364,-329,, , 
펼치기 PSR,1.56,0.47,2.81,3.74,5.10,,36.38, 
  보통주수정주가(기말)＜당기＞,"28,256","4,560","4,460","4,460","4,460","4,460", , 
  SPS＜당기＞,"18,098","9,750","1,589","1,192",874,, , 
펼치기 EV/EBITDA,-19.10,-5.90,-15.90,110.84,-5.86,,-105.29, 
  EV＜당기＞,"1,239.3",280.8,249.0,270.6,251.4,, , 
  EBITDA＜당기＞,-64.9,-47.6,-15.7,2.4,-42.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
