항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,34,511,249,448,477,805,7,69
  당기순이익(지배)＜당기＞,2.6,39.3,19.1,35.8,48.3,85.0, , 
  보통주수정평균발행주식수＜당기＞,"7,685,637","7,685,637","7,685,637","7,992,998","10,130,342","10,556,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,311,723,607,"1,707","5,185","6,735",204,30
  자본총계(지배)＜당기＞,23.9,55.5,46.6,148.8,547.3,711.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,685,637","7,685,637","7,685,637","8,720,000","10,556,337","10,556,337", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-86,93,-42,399,154,834,-61,440
  영업활동현금흐름＜당기＞,-6.6,7.2,-3.2,31.9,15.6,53.0, , 
  보통주수정평균발행주식수＜당기＞,"7,685,637","7,685,637","7,685,637","7,992,998","10,130,342","10,556,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,726","4,042","4,148","4,552","4,214","5,447",-7,29
  매출액＜당기＞,209.5,310.7,318.8,363.9,426.9,575.0, , 
  보통주수정평균발행주식수＜당기＞,"7,685,637","7,685,637","7,685,637","7,992,998","10,130,342","10,556,344", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,42.69,21.67, ,-49.24
  보통주수정주가(기말)＜당기＞,,,,,"20,350","17,450", , 
  EPS＜당기＞,34,511,249,448,477,805, , 
펼치기 PBR,0.00,0.00,0.00,0.00,3.92,2.59, ,-33.99
  보통주수정주가(기말)＜당기＞,,,,,"20,350","17,450", , 
  BPS＜당기＞,311,723,607,"1,707","5,185","6,735", , 
펼치기 PCR,,,,,131.82,20.93, ,-84.12
  보통주수정주가(기말)＜당기＞,,,,,"20,350","17,450", , 
  CPS＜당기＞,-86,93,-42,399,154,834, , 
펼치기 PSR,,,,,4.83,3.20, ,-33.66
  보통주수정주가(기말)＜당기＞,,,,,"20,350","17,450", , 
  SPS＜당기＞,"2,726","4,042","4,148","4,552","4,214","5,447", , 
펼치기 EV/EBITDA,,,,,23.65,9.84, ,-58.40
  EV＜당기＞,,,,,"1,903.7","1,269.1", , 
  EBITDA＜당기＞,7.8,46.3,41.4,77.4,80.5,129.0, , 
펼치기 DPS,0,0,0,0,70,, , 
  현금DPS,0,0,0,0,70,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,0.34,0.40, ,0.06
  현금배당성향(%),0.00,0.00,0.00,0.00,15.30,8.69,15.30,-6.61
