항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,214,250,265,195,238,,22, 
  당기순이익(지배)＜당기＞,26.5,30.9,32.9,24.1,29.5,, , 
  보통주수정평균발행주식수＜당기＞,"12,400,000","12,400,000","12,400,000","12,400,000","12,400,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,379","4,578","4,744","4,838","4,976",,3, 
  자본총계(지배)＜당기＞,543.1,567.7,588.2,600.0,617.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,400,000","12,400,000","12,400,000","12,400,000","12,400,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-455,-179,"1,056",7,-161,,"-2,369", 
  영업활동현금흐름＜당기＞,-56.4,-22.2,130.9,0.9,-19.9,, , 
  보통주수정평균발행주식수＜당기＞,"12,400,000","12,400,000","12,400,000","12,400,000","12,400,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,549","4,531","6,150","5,217","5,952",,14, 
  매출액＜당기＞,564.0,561.9,762.6,646.9,738.0,, , 
  보통주수정평균발행주식수＜당기＞,"12,400,000","12,400,000","12,400,000","12,400,000","12,400,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,13.57,13.44,13.59,23.27,18.04,,-22.48, 
  보통주수정주가(기말)＜당기＞,"2,900","3,355","3,605","4,530","4,290","4,525", , 
  EPS＜당기＞,214,250,265,195,238,, , 
펼치기 PBR,0.66,0.73,0.76,0.94,0.86,,-7.92, 
  보통주수정주가(기말)＜당기＞,"2,900","3,355","3,605","4,530","4,290","4,525", , 
  BPS＜당기＞,"4,379","4,578","4,744","4,838","4,976",, , 
펼치기 PCR,-6.38,-18.77,3.41,640.44,-26.73,,-104.17, 
  보통주수정주가(기말)＜당기＞,"2,900","3,355","3,605","4,530","4,290","4,525", , 
  CPS＜당기＞,-455,-179,"1,056",7,-161,, , 
펼치기 PSR,0.64,0.74,0.59,0.87,0.72,,-16.99, 
  보통주수정주가(기말)＜당기＞,"2,900","3,355","3,605","4,530","4,290","4,525", , 
  SPS＜당기＞,"4,549","4,531","6,150","5,217","5,952",, , 
펼치기 EV/EBITDA,-1.31,1.91,-0.78,3.60,2.93,,-18.58, 
  EV＜당기＞,-35.8,60.6,-29.3,97.2,100.7,, , 
  EBITDA＜당기＞,27.3,31.7,37.6,27.0,34.3,, , 
펼치기 DPS,90,100,100,100,100,,0, 
  현금DPS,90,100,100,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.10,2.98,2.77,2.21,2.33,,0.12, 
  현금배당성향(%),42.10,40.07,37.69,51.38,42.06,,-9.32, 
