항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-17,-3,,86, 
  당기순이익(지배)＜당기＞,,,,-0.4,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,221,612","5,320,000","5,320,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,685","1,682",,-0, 
  자본총계(지배)＜당기＞,,,,89.6,89.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"5,320,000","5,320,000","5,320,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-25,1,,103, 
  영업활동현금흐름＜당기＞,,,,-0.5,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,221,612","5,320,000","5,320,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,221,612","5,320,000","5,320,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-619.10, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,135","2,210", , 
  EPS＜당기＞,,,,-17,-3,, , 
펼치기 PBR,,,,1.23,1.27,,3.54, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,135","2,210", , 
  BPS＜당기＞,,,,"1,685","1,682",, , 
펼치기 PCR,,,,-83.55,"3,096.03",,"3,805.72", 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,135","2,210", , 
  CPS＜당기＞,,,,-25,1,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,135","2,210", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-169.83,-231.26,,-36.17, 
  EV＜당기＞,,,,95.3,99.6,, , 
  EBITDA＜당기＞,,,,-0.6,-0.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
