항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-14,3,8,-74,-265,, , 
  당기순이익(지배)＜당기＞,-5.6,1.2,3.1,-30.3,-122.8,, , 
  보통주수정평균발행주식수＜당기＞,"39,921,340","40,893,855","40,893,855","40,893,855","46,334,039","65,577,934", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"5,589,006", , 
펼치기 BPS,526,530,544,492,545,, , 
  자본총계(지배)＜당기＞,204.1,213.8,219.8,198.5,301.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"38,805,700","40,374,365","40,374,365","40,374,365","55,317,602","67,140,542", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,"6,580,604", , 
펼치기 CPS,60,40,67,-25,-111,, , 
  영업활동현금흐름＜당기＞,24.1,16.3,27.4,-10.4,-51.3,, , 
  보통주수정평균발행주식수＜당기＞,"39,921,340","40,893,855","40,893,855","40,893,855","46,334,039","65,577,934", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"5,589,006", , 
펼치기 SPS,556,534,541,409,535,, , 
  매출액＜당기＞,222.1,218.2,221.2,167.1,247.7,, , 
  보통주수정평균발행주식수＜당기＞,"39,921,340","40,893,855","40,893,855","40,893,855","46,334,039","65,577,934", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"5,589,006", , 
펼치기 PER,N/A,150.38,63.68,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,532,459,478,"1,750","3,305","2,095", , 
  EPS＜당기＞,-14,3,8,-74,-265,, , 
펼치기 PBR,1.01,0.87,0.88,3.56,6.06,, , 
  보통주수정주가(기말)＜당기＞,532,459,478,"1,750","3,305","2,095", , 
  BPS＜당기＞,526,530,544,492,545,, , 
펼치기 PCR,8.81,11.54,7.13,-68.79,-29.84,, , 
  보통주수정주가(기말)＜당기＞,532,459,478,"1,750","3,305","2,095", , 
  CPS＜당기＞,60,40,67,-25,-111,, , 
펼치기 PSR,0.96,0.86,0.88,4.28,6.18,, , 
  보통주수정주가(기말)＜당기＞,532,459,478,"1,750","3,305","2,095", , 
  SPS＜당기＞,556,534,541,409,535,, , 
펼치기 EV/EBITDA,12.71,11.87,14.66,-932.05,-82.11,, , 
  EV＜당기＞,292.6,255.0,320.6,864.5,"1,945.3",, , 
  EBITDA＜당기＞,23.0,21.5,21.9,-0.9,-23.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
