항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(GAAP개별)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-61,-47,-65,-42,-42,, , 
  당기순이익(지배)＜당기＞,-68.6,-52.7,-72.9,-47.7,-50.0,, , 
  보통주수정평균발행주식수＜당기＞,"68,280,042","68,280,042","68,910,191","69,156,606","89,390,714","127,754,007", , 
  우선주수정평균발행주식수＜당기＞,"43,335,601","43,335,601","43,335,601","43,335,601","30,695,653","5,252,918", , 
펼치기 BPS,165,118,52,10,62,, , 
  자본총계(지배)＜당기＞,183.8,131.2,58.4,10.7,81.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"68,280,042","68,280,042","69,084,229","69,175,269","127,754,006","127,753,961", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"43,335,602","43,335,602","43,335,602","43,335,602","5,252,918","5,252,918", , 
펼치기 CPS,-64,-50,-33,-34,-25,, , 
  영업활동현금흐름＜당기＞,-71.3,-56.0,-37.5,-37.8,-29.8,, , 
  보통주수정평균발행주식수＜당기＞,"68,280,042","68,280,042","68,910,191","69,156,606","89,390,714","127,754,007", , 
  우선주수정평균발행주식수＜당기＞,"43,335,601","43,335,601","43,335,601","43,335,601","30,695,653","5,252,918", , 
펼치기 SPS,20,7,6,1,111,, , 
  매출액＜당기＞,21.8,7.5,6.5,1.3,133.1,, , 
  보통주수정평균발행주식수＜당기＞,"68,280,042","68,280,042","68,910,191","69,156,606","89,390,714","127,754,007", , 
  우선주수정평균발행주식수＜당기＞,"43,335,601","43,335,601","43,335,601","43,335,601","30,695,653","5,252,918", , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,375","1,480", , 
  EPS＜당기＞,-61,-47,-65,-42,-42,, , 
펼치기 PBR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,375","1,480", , 
  BPS＜당기＞,165,118,52,10,62,, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,375","1,480", , 
  CPS＜당기＞,-64,-50,-33,-34,-25,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,055","2,375","1,480", , 
  SPS＜당기＞,20,7,6,1,111,, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,-64.6,-54.0,-62.9,-40.5,-36.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.00,, , 
  현금배당성향(%),,,,0.00,0.00,, , 
