항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"15,974","-55,781","-107,858","-3,816",338,, , 
  당기순이익(지배)＜당기＞,24.6,-125.6,-339.1,-31.3,6.3,, , 
  보통주수정평균발행주식수＜당기＞,"153,957","225,118","314,440","820,961","1,860,277","31,706,224", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"140,163","140,674","74,273","81,942",94,, , 
  자본총계(지배)＜당기＞,304.4,339.5,367.0,712.7,15.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"217,188","241,322","494,101","869,758","16,801,878","32,802,132", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-69,389","-121,389","-26,582","-31,057","-2,985",, , 
  영업활동현금흐름＜당기＞,-106.8,-273.3,-83.6,-255.0,-55.5,, , 
  보통주수정평균발행주식수＜당기＞,"153,957","225,118","314,440","820,961","1,860,277","31,706,224", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"301,658","111,736","49,384","1,841","1,636",, , 
  매출액＜당기＞,464.4,251.5,155.3,15.1,30.4,, , 
  보통주수정평균발행주식수＜당기＞,"153,957","225,118","314,440","820,961","1,860,277","31,706,224", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,1.14,N/A,N/A,N/A,3.95,, , 
  보통주수정주가(기말)＜당기＞,"18,233","29,605","6,242","1,335","1,335","1,335", , 
  EPS＜당기＞,"15,974","-55,781","-107,858","-3,816",338,, , 
펼치기 PBR,0.13,0.21,0.08,0.02,14.22,, , 
  보통주수정주가(기말)＜당기＞,"18,233","29,605","6,242","1,335","1,335","1,335", , 
  BPS＜당기＞,"140,163","140,674","74,273","81,942",94,, , 
펼치기 PCR,-0.26,-0.24,-0.23,-0.04,-0.45,, , 
  보통주수정주가(기말)＜당기＞,"18,233","29,605","6,242","1,335","1,335","1,335", , 
  CPS＜당기＞,"-69,389","-121,389","-26,582","-31,057","-2,985",, , 
펼치기 PSR,0.06,0.26,0.13,0.73,0.82,, , 
  보통주수정주가(기말)＜당기＞,"18,233","29,605","6,242","1,335","1,335","1,335", , 
  SPS＜당기＞,"301,658","111,736","49,384","1,841","1,636",, , 
펼치기 EV/EBITDA,27.08,-18.60,-3.10,-146.91,-3.33,, , 
  EV＜당기＞,578.3,"1,365.7",483.8,201.3,164.6,, , 
  EBITDA＜당기＞,21.4,-73.4,-156.1,-1.4,-49.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
