항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-8,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"25,246","2,321,918","3,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,,"1,915",, , 
  자본총계(지배)＜당기＞,,,,,57.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"220,000","3,020,000","3,020,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,,-11,, , 
  영업활동현금흐름＜당기＞,,,,,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,,"25,246","2,321,918","3,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"25,246","2,321,918","3,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","2,340", , 
  EPS＜당기＞,,,,,-8,, , 
펼치기 PBR,,,,,1.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","2,340", , 
  BPS＜당기＞,,,,,"1,915",, , 
펼치기 PCR,,,,,-203.09,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","2,340", , 
  CPS＜당기＞,,,,,-11,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,300","2,340", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-268.45,, , 
  EV＜당기＞,,,,,79.8,, , 
  EBITDA＜당기＞,,,,,-0.3,, , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
