항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-295,199,-87,-223,-208,, , 
  당기순이익(지배)＜당기＞,-18.1,13.5,-7.0,-18.0,-16.8,, , 
  보통주수정평균발행주식수＜당기＞,"6,125,444","6,774,633","7,982,718","8,083,796","8,097,388","8,137,001", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,721,"6,349","6,076","5,854","5,635",, , 
  자본총계(지배)＜당기＞,44.2,490.6,481.0,466.6,450.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,125,444","7,727,318","7,915,768","7,971,618","7,988,618","8,023,618", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-13,151,-326,-209,10,, , 
  영업활동현금흐름＜당기＞,-0.8,10.3,-26.1,-16.9,0.8,, , 
  보통주수정평균발행주식수＜당기＞,"6,125,444","6,774,633","7,982,718","8,083,796","8,097,388","8,137,001", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,818,"1,554","1,113",958,"1,458",, , 
  매출액＜당기＞,50.1,105.3,88.8,77.4,118.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,125,444","6,774,633","7,982,718","8,083,796","8,097,388","8,137,001", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,163.88,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,"32,600","43,200","29,450","21,700","14,300", , 
  EPS＜당기＞,-295,199,-87,-223,-208,, , 
펼치기 PBR,0.00,5.13,7.11,5.03,3.85,, , 
  보통주수정주가(기말)＜당기＞,,"32,600","43,200","29,450","21,700","14,300", , 
  BPS＜당기＞,721,"6,349","6,076","5,854","5,635",, , 
펼치기 PCR,0.00,215.22,-132.32,-141.18,"2,109.67",, , 
  보통주수정주가(기말)＜당기＞,,"32,600","43,200","29,450","21,700","14,300", , 
  CPS＜당기＞,-13,151,-326,-209,10,, , 
펼치기 PSR,0.00,20.98,38.82,30.74,14.89,, , 
  보통주수정주가(기말)＜당기＞,,"32,600","43,200","29,450","21,700","14,300", , 
  SPS＜당기＞,818,"1,554","1,113",958,"1,458",, , 
펼치기 EV/EBITDA,,134.49,-949.36,-133.07,848.49,, , 
  EV＜당기＞,,"2,289.6","3,144.2","2,035.2","1,656.2",, , 
  EBITDA＜당기＞,-12.0,17.0,-3.3,-15.3,2.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
