항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,26,29,36,-25,-69,,-175, 
  당기순이익(지배)＜당기＞,22.1,25.9,32.2,-22.6,-62.5,, , 
  보통주수정평균발행주식수＜당기＞,"85,839,616","88,836,920","90,349,287","90,349,287","90,941,814","94,024,414", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,59,110,135,230,167,,-27, 
  자본총계(지배)＜당기＞,51.6,99.7,122.3,206.1,150.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"88,132,367","90,349,273","90,349,273","89,763,255","90,291,031","92,059,621", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-7,21,51,7,-111,,"-1,627", 
  영업활동현금흐름＜당기＞,-6.4,18.5,46.5,6.6,-101.4,, , 
  보통주수정평균발행주식수＜당기＞,"85,839,616","88,836,920","90,349,287","90,349,287","90,941,814","94,024,414", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,651,834,780,682,548,,-20, 
  매출액＜당기＞,559.0,741.2,704.6,616.5,498.7,, , 
  보통주수정평균발행주식수＜당기＞,"85,839,616","88,836,920","90,349,287","90,349,287","90,941,814","94,024,414", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,82.08, 
  보통주수정주가(기말)＜당기＞,,,"1,166","1,580",779,"1,180", , 
  EPS＜당기＞,26,29,36,-25,-69,, , 
펼치기 PBR,,,,6.88,4.66,,-32.22, 
  보통주수정주가(기말)＜당기＞,,,"1,166","1,580",779,"1,180", , 
  BPS＜당기＞,59,110,135,230,167,, , 
펼치기 PCR,,,,216.36,-6.99,,-103.23, 
  보통주수정주가(기말)＜당기＞,,,"1,166","1,580",779,"1,180", , 
  CPS＜당기＞,-7,21,51,7,-111,, , 
펼치기 PSR,,,,2.32,1.42,,-38.65, 
  보통주수정주가(기말)＜당기＞,,,"1,166","1,580",779,"1,180", , 
  SPS＜당기＞,651,834,780,682,548,, , 
펼치기 EV/EBITDA,,,,29.29,-18.36,,-162.69, 
  EV＜당기＞,,,,"1,495.1","1,135.9",, , 
  EBITDA＜당기＞,29.2,34.6,70.2,51.0,-61.9,, , 
펼치기 DPS,2,4,8,6,0,,-100, 
  현금DPS,2,4,8,6,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.71,0.35,0.00,,-0.35, 
  현금배당성향(%),8.33,14.49,23.17,-22.11,,, , 
