항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-5,465","-43,520",-281,22,-74,,-432, 
  당기순이익(지배)＜당기＞,-98.3,"-1,229.5",-115.9,14.1,-51.4,, , 
  보통주수정평균발행주식수＜당기＞,"1,798,455","2,825,222","41,306,514","63,266,876","69,634,752","71,750,792", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"27,784",740,400,418,342,,-18, 
  자본총계(지배)＜당기＞,578.9,287.4,246.7,264.8,245.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,083,585","38,833,837","61,732,866","63,320,603","71,750,792","71,750,792", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"7,521","-1,808",-310,-96,11,,111, 
  영업활동현금흐름＜당기＞,135.3,-51.1,-128.1,-60.6,7.3,, , 
  보통주수정평균발행주식수＜당기＞,"1,798,455","2,825,222","41,306,514","63,266,876","69,634,752","71,750,792", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"53,214","23,295",796,441,735,,67, 
  매출액＜당기＞,957.0,658.1,328.8,278.9,511.6,, , 
  보통주수정평균발행주식수＜당기＞,"1,798,455","2,825,222","41,306,514","63,266,876","69,634,752","71,750,792", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,34.59,N/A,,-137.32, 
  보통주수정주가(기말)＜당기＞,"5,902","3,320","1,540",770,953,869, , 
  EPS＜당기＞,"-5,465","-43,520",-281,22,-74,, , 
펼치기 PBR,0.21,4.49,3.85,1.84,2.78,,51.16, 
  보통주수정주가(기말)＜당기＞,"5,902","3,320","1,540",770,953,869, , 
  BPS＜당기＞,"27,784",740,400,418,342,, , 
펼치기 PCR,0.78,-1.84,-4.97,-8.04,90.74,,"1,228.98", 
  보통주수정주가(기말)＜당기＞,"5,902","3,320","1,540",770,953,869, , 
  CPS＜당기＞,"7,521","-1,808",-310,-96,11,, , 
펼치기 PSR,0.11,0.14,1.93,1.75,1.30,,-25.73, 
  보통주수정주가(기말)＜당기＞,"5,902","3,320","1,540",770,953,869, , 
  SPS＜당기＞,"53,214","23,295",796,441,735,, , 
펼치기 EV/EBITDA,"-1,314.11",-2.97,125.38,35.52,-29.22,,-182.26, 
  EV＜당기＞,"1,757.1",479.4,703.8,529.0,769.3,, , 
  EBITDA＜당기＞,-1.3,-161.5,5.6,14.9,-26.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
