항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-2,63,69,341,224,,-34, 
  당기순이익(지배)＜당기＞,-0.4,13.1,15.3,81.0,71.1,, , 
  보통주수정평균발행주식수＜당기＞,"15,430,975","20,822,908","22,382,985","23,762,576","31,758,945","33,481,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,229","1,547","1,619","1,920","2,497",,30, 
  자본총계(지배)＜당기＞,223.3,346.2,362.4,504.4,835.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,165,000","22,382,985","22,382,985","26,267,552","33,481,747","33,481,747", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-33,-193,244,30,-40,,-232, 
  영업활동현금흐름＜당기＞,-5.0,-40.1,54.7,7.2,-12.7,, , 
  보통주수정평균발행주식수＜당기＞,"15,430,975","20,822,908","22,382,985","23,762,576","31,758,945","33,481,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,942","2,746","3,636","3,033","3,071",,1, 
  매출액＜당기＞,453.9,571.9,813.9,720.7,975.4,, , 
  보통주수정평균발행주식수＜당기＞,"15,430,975","20,822,908","22,382,985","23,762,576","31,758,945","33,481,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,37.85,41.23,14.53,18.98,,30.61, 
  보통주수정주가(기말)＜당기＞,"1,640","2,390","2,825","4,955","4,250","2,860", , 
  EPS＜당기＞,-2,63,69,341,224,, , 
펼치기 PBR,1.33,1.55,1.74,2.58,1.70,,-34.03, 
  보통주수정주가(기말)＜당기＞,"1,640","2,390","2,825","4,955","4,250","2,860", , 
  BPS＜당기＞,"1,229","1,547","1,619","1,920","2,497",, , 
펼치기 PCR,-50.28,-12.41,11.56,164.31,-106.55,,-164.85, 
  보통주수정주가(기말)＜당기＞,"1,640","2,390","2,825","4,955","4,250","2,860", , 
  CPS＜당기＞,-33,-193,244,30,-40,, , 
펼치기 PSR,0.56,0.87,0.78,1.63,1.38,,-15.30, 
  보통주수정주가(기말)＜당기＞,"1,640","2,390","2,825","4,955","4,250","2,860", , 
  SPS＜당기＞,"2,942","2,746","3,636","3,033","3,071",, , 
펼치기 EV/EBITDA,6.23,13.44,6.75,15.67,35.26,,124.97, 
  EV＜당기＞,235.6,527.0,709.6,"1,340.1",993.3,, , 
  EBITDA＜당기＞,37.8,39.2,105.1,85.5,28.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
