항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,321,490,483,511,593,752,16,27
  당기순이익(지배)＜당기＞,160.6,244.9,241.3,255.4,296.5,376.0, , 
  보통주수정평균발행주식수＜당기＞,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,522","2,986","3,069","3,041","3,123",,3, 
  자본총계(지배)＜당기＞,"1,255.5","1,486.8","1,528.1","1,513.9","1,554.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"49,785,720","49,785,720","49,785,720","49,785,720","49,785,720",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,588,735,685,676,744,,10, 
  영업활동현금흐름＜당기＞,294.1,367.4,342.5,337.9,371.8,, , 
  보통주수정평균발행주식수＜당기＞,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,225","1,445","1,422","1,417","1,482","1,662",5,12
  매출액＜당기＞,612.6,722.4,711.1,708.3,740.9,831.0, , 
  보통주수정평균발행주식수＜당기＞,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,16.53,15.60,20.58,18.46,14.54,11.14,-21.26,-23.34
  보통주수정주가(기말)＜당기＞,"5,310","7,640","9,930","9,430","8,620","8,380", , 
  EPS＜당기＞,321,490,483,511,593,752, , 
펼치기 PBR,2.11,2.56,3.24,3.10,2.76,,-10.99, 
  보통주수정주가(기말)＜당기＞,"5,310","7,640","9,930","9,430","8,620","8,380", , 
  BPS＜당기＞,"2,522","2,986","3,069","3,041","3,123",, , 
펼치기 PCR,9.03,10.40,14.49,13.96,11.59,,-16.94, 
  보통주수정주가(기말)＜당기＞,"5,310","7,640","9,930","9,430","8,620","8,380", , 
  CPS＜당기＞,588,735,685,676,744,, , 
펼치기 PSR,4.33,5.29,6.98,6.66,5.82,5.04,-12.62,-13.32
  보통주수정주가(기말)＜당기＞,"5,310","7,640","9,930","9,430","8,620","8,380", , 
  SPS＜당기＞,"1,225","1,445","1,422","1,417","1,482","1,662", , 
펼치기 EV/EBITDA,7.74,8.00,9.65,9.94,8.16,,-17.92, 
  EV＜당기＞,"2,273.9","3,151.8","4,117.5","4,004.7","3,669.6",, , 
  EBITDA＜당기＞,293.7,394.0,426.5,402.7,449.5,, , 
펼치기 DPS,25,400,540,510,300,,-41, 
  현금DPS,25,400,540,510,300,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.47,5.24,5.44,5.41,3.48,,-1.93, 
  현금배당성향(%),7.75,81.32,111.43,99.42,50.37,,-49.05, 
