항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,27,36,70,34,-24,,-172, 
  당기순이익(지배)＜당기＞,7.9,10.4,20.4,9.9,-7.1,, , 
  보통주수정평균발행주식수＜당기＞,"29,129,064","29,129,064","29,129,064","29,129,064","29,129,064","29,129,064", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,085","1,078","1,149","1,352","1,321",,-2, 
  자본총계(지배)＜당기＞,304.1,296.8,316.2,382.0,373.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"28,023,570","27,528,134","27,528,128","28,258,128","28,258,128","27,825,006", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,111,-122,172,-112,-4,,97, 
  영업활동현금흐름＜당기＞,32.4,-35.6,50.2,-32.8,-1.0,, , 
  보통주수정평균발행주식수＜당기＞,"29,129,064","29,129,064","29,129,064","29,129,064","29,129,064","29,129,064", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,961,955,789,652,581,,-11, 
  매출액＜당기＞,279.9,278.1,229.9,190.0,169.1,, , 
  보통주수정평균발행주식수＜당기＞,"29,129,064","29,129,064","29,129,064","29,129,064","29,129,064","29,129,064", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,78.86,54.86,50.94,114.37,N/A,,-215.29, 
  보통주수정주가(기말)＜당기＞,"2,137","1,959","3,572","3,902","3,225","2,340", , 
  EPS＜당기＞,27,36,70,34,-24,, , 
펼치기 PBR,1.97,1.82,3.11,2.89,2.44,,-15.43, 
  보통주수정주가(기말)＜당기＞,"2,137","1,959","3,572","3,902","3,225","2,340", , 
  BPS＜당기＞,"1,085","1,078","1,149","1,352","1,321",, , 
펼치기 PCR,19.23,-16.03,20.74,-34.71,-907.48,,"-2,514.78", 
  보통주수정주가(기말)＜당기＞,"2,137","1,959","3,572","3,902","3,225","2,340", , 
  CPS＜당기＞,111,-122,172,-112,-4,, , 
펼치기 PSR,2.22,2.05,4.53,5.98,5.55,,-7.16, 
  보통주수정주가(기말)＜당기＞,"2,137","1,959","3,572","3,902","3,225","2,340", , 
  SPS＜당기＞,961,955,789,652,581,, , 
펼치기 EV/EBITDA,33.49,24.54,94.35,-690.26,-48.68,,92.95, 
  EV＜당기＞,496.3,435.0,861.9,860.2,682.0,, , 
  EBITDA＜당기＞,14.8,17.7,9.1,-1.2,-14.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
