항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,195","4,013","4,011","5,183","7,014","8,211",35,17
  당기순이익(지배)＜당기＞,373.0,468.6,468.3,605.1,818.9,958.7, , 
  보통주수정평균발행주식수＜당기＞,"11,675,000","11,675,000","11,675,000","11,675,000","11,675,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"12,458","15,772","18,883","23,166","29,080","35,911",26,23
  자본총계(지배)＜당기＞,"1,454.5","1,841.4","2,204.6","2,704.6","3,395.1","4,192.7", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,675,000","11,675,000","11,675,000","11,675,000","11,675,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"3,394","3,393","3,102","5,643","6,737","8,916",19,32
  영업활동현금흐름＜당기＞,396.3,396.1,362.2,658.8,786.5,901.0, , 
  보통주수정평균발행주식수＜당기＞,"11,675,000","11,675,000","11,675,000","11,675,000","11,675,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"11,161","14,605","14,679","19,547","23,192","27,934",19,20
  매출액＜당기＞,"1,303.1","1,705.2","1,713.8","2,282.1","2,707.7","3,261.3", , 
  보통주수정평균발행주식수＜당기＞,"11,675,000","11,675,000","11,675,000","11,675,000","11,675,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,24.10,10.07,16.43,24.17,21.17,17.23,-12.42,-18.61
  보통주수정주가(기말)＜당기＞,"77,000","40,400","65,900","125,300","148,500","141,500", , 
  EPS＜당기＞,"3,195","4,013","4,011","5,183","7,014","8,211", , 
펼치기 PBR,6.18,2.56,3.49,5.41,5.11,3.94,-5.59,-22.84
  보통주수정주가(기말)＜당기＞,"77,000","40,400","65,900","125,300","148,500","141,500", , 
  BPS＜당기＞,"12,458","15,772","18,883","23,166","29,080","35,911", , 
펼치기 PCR,22.68,11.91,21.24,22.20,22.04,15.87,-0.72,-28.01
  보통주수정주가(기말)＜당기＞,"77,000","40,400","65,900","125,300","148,500","141,500", , 
  CPS＜당기＞,"3,394","3,393","3,102","5,643","6,737","8,916", , 
펼치기 PSR,6.90,2.77,4.49,6.41,6.40,5.07,-0.11,-20.89
  보통주수정주가(기말)＜당기＞,"77,000","40,400","65,900","125,300","148,500","141,500", , 
  SPS＜당기＞,"11,161","14,605","14,679","19,547","23,192","27,934", , 
펼치기 EV/EBITDA,14.75,5.51,9.96,14.57,13.21,10.41,-9.33,-21.17
  EV＜당기＞,"8,321.9","3,781.5","6,740.5","13,249.4","15,324.7","13,938.5", , 
  EBITDA＜당기＞,564.4,685.8,676.7,909.2,"1,159.9","1,338.3", , 
펼치기 DPS,700,900,900,"1,100","1,430",,30, 
  현금DPS,700,900,900,"1,100","1,430",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.91,2.23,1.37,0.88,0.96,0.97,0.09,0.01
  현금배당성향(%),21.91,22.42,22.44,21.22,20.39,16.77,-0.84,-3.62
