항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,46,84,251,229,569,,149, 
  당기순이익(지배)＜당기＞,2.0,3.7,11.1,10.2,31.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,425,000","4,425,000","4,425,000","4,467,213","5,455,000","5,455,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,439","2,020","2,271","3,807","4,365",,15, 
  자본총계(지배)＜당기＞,63.7,89.4,100.5,207.7,238.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,425,000","4,425,000","4,425,000","5,455,000","5,455,000","5,435,657", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,352,81,359,504,478,,-5, 
  영업활동현금흐름＜당기＞,15.6,3.6,15.9,22.5,26.1,, , 
  보통주수정평균발행주식수＜당기＞,"4,425,000","4,425,000","4,425,000","4,467,213","5,455,000","5,455,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,357","1,251","1,447","1,505","1,661",,10, 
  매출액＜당기＞,60.0,55.3,64.0,67.2,90.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,425,000","4,425,000","4,425,000","4,467,213","5,455,000","5,455,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,166.11,31.39,,-81.11, 
  보통주수정주가(기말)＜당기＞,,,,"38,000","17,850","15,900", , 
  EPS＜당기＞,46,84,251,229,569,, , 
펼치기 PBR,0.00,0.00,0.00,9.98,4.09,,-59.03, 
  보통주수정주가(기말)＜당기＞,,,,"38,000","17,850","15,900", , 
  BPS＜당기＞,"1,439","2,020","2,271","3,807","4,365",, , 
펼치기 PCR,,,,75.36,37.37,,-50.41, 
  보통주수정주가(기말)＜당기＞,,,,"38,000","17,850","15,900", , 
  CPS＜당기＞,352,81,359,504,478,, , 
펼치기 PSR,,,,25.25,10.75,,-57.44, 
  보통주수정주가(기말)＜당기＞,,,,"38,000","17,850","15,900", , 
  SPS＜당기＞,"1,357","1,251","1,447","1,505","1,661",, , 
펼치기 EV/EBITDA,,,,103.14,25.43,,-75.35, 
  EV＜당기＞,,,,"1,985.5",868.1,, , 
  EBITDA＜당기＞,14.4,13.5,19.4,19.3,34.1,, , 
펼치기 DPS,0,0,0,,,, , 
  현금DPS,0,0,0,,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
