항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,964,"2,310","1,720","2,214","4,581","7,553",107,65
  당기순이익(지배)＜당기＞,151.6,368.6,344.8,469.1,"1,008.4","1,806.4", , 
  보통주수정평균발행주식수＜당기＞,"15,729,862","15,952,986","20,048,524","21,185,254","22,013,821","23,914,970", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,434","9,880","18,083","21,170","24,156","39,292",14,63
  자본총계(지배)＜당기＞,"1,152.3","1,605.5","3,702.1","4,435.8","5,517.0","9,607.1", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,500,000","16,250,000","20,472,988","20,953,440","22,838,992","24,450,336", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,741,"1,494",638,"5,902","-4,583","11,913",-178,360
  영업활동현금흐름＜당기＞,116.6,238.4,128.0,"1,250.3","-1,008.9","1,099.5", , 
  보통주수정평균발행주식수＜당기＞,"15,729,862","15,952,986","20,048,524","21,185,254","22,013,821","23,914,970", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"18,428","36,933","30,730","40,346","67,486","146,605",67,117
  매출액＜당기＞,"2,898.7","5,891.9","6,160.9","8,547.5","14,856.3","35,060.4", , 
  보통주수정평균발행주식수＜당기＞,"15,729,862","15,952,986","20,048,524","21,185,254","22,013,821","23,914,970", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,30.37,75.70,107.75,59.51,42.33,-44.77
  보통주수정주가(기말)＜당기＞,,,"52,235","167,643","493,567","449,500", , 
  EPS＜당기＞,964,"2,310","1,720","2,214","4,581","7,553", , 
펼치기 PBR,0.00,0.00,2.93,8.03,20.73,11.44,158.02,-44.82
  보통주수정주가(기말)＜당기＞,,,"52,235","167,643","493,567","449,500", , 
  BPS＜당기＞,"7,434","9,880","18,083","21,170","24,156","39,292", , 
펼치기 PCR,,,81.82,28.41,-107.70,37.73,-479.14,135.04
  보통주수정주가(기말)＜당기＞,,,"52,235","167,643","493,567","449,500", , 
  CPS＜당기＞,741,"1,494",638,"5,902","-4,583","11,913", , 
펼치기 PSR,,,1.70,4.16,7.31,3.07,76.02,-58.08
  보통주수정주가(기말)＜당기＞,,,"52,235","167,643","493,567","449,500", , 
  SPS＜당기＞,"18,428","36,933","30,730","40,346","67,486","146,605", , 
펼치기 EV/EBITDA,,,19.27,40.54,72.12,34.09,77.88,-52.73
  EV＜당기＞,,,"12,760.8","37,158.7","114,252.5","115,338.1", , 
  EBITDA＜당기＞,395.3,727.6,662.4,916.5,"1,584.2","3,383.6", , 
펼치기 DPS,0,0,148,443,907,,104, 
  현금DPS,0,0,148,443,907,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.28,0.26,0.18,0.19,-0.08,0.01
  현금배당성향(%),0.00,0.00,8.91,20.10,20.84,11.11,0.74,-9.73
