항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,343,-170,405,-536,492,,192, 
  당기순이익(지배)＜당기＞,8.9,-4.2,10.2,-44.5,52.5,, , 
  보통주수정평균발행주식수＜당기＞,"2,228,960","2,228,960","2,259,040","8,282,590","10,663,850","10,867,730", , 
  우선주수정평균발행주식수＜당기＞,"366,042","263,989","260,545","23,171",0,0, , 
펼치기 BPS,"7,259","6,673","3,633","3,664","4,593",,25, 
  자본총계(지배)＜당기＞,185.3,166.2,282.7,369.5,499.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,228,960","2,228,960","7,717,850","10,084,400","10,867,730","10,867,730", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"323,167","261,629","63,765",0,0,0, , 
펼치기 CPS,"2,019",-57,-261,457,-215,,-147, 
  영업활동현금흐름＜당기＞,52.4,-1.4,-6.6,38.0,-22.9,, , 
  보통주수정평균발행주식수＜당기＞,"2,228,960","2,228,960","2,259,040","8,282,590","10,663,850","10,867,730", , 
  우선주수정평균발행주식수＜당기＞,"366,042","263,989","260,545","23,171",0,0, , 
펼치기 SPS,"11,731","12,165","13,389","4,161","3,138",,-25, 
  매출액＜당기＞,304.4,303.3,337.4,345.6,334.7,, , 
  보통주수정평균발행주식수＜당기＞,"2,228,960","2,228,960","2,259,040","8,282,590","10,663,850","10,867,730", , 
  우선주수정평균발행주식수＜당기＞,"366,042","263,989","260,545","23,171",0,0, , 
펼치기 PER,,,,N/A,16.16,,155.33, 
  보통주수정주가(기말)＜당기＞,,,,"15,650","7,950","6,110", , 
  EPS＜당기＞,343,-170,405,-536,492,, , 
펼치기 PBR,0.00,0.00,0.00,4.27,1.73,,-59.47, 
  보통주수정주가(기말)＜당기＞,,,,"15,650","7,950","6,110", , 
  BPS＜당기＞,"7,259","6,673","3,633","3,664","4,593",, , 
펼치기 PCR,,,,34.22,-37.03,,-208.24, 
  보통주수정주가(기말)＜당기＞,,,,"15,650","7,950","6,110", , 
  CPS＜당기＞,"2,019",-57,-261,457,-215,, , 
펼치기 PSR,,,,3.76,2.53,,-32.64, 
  보통주수정주가(기말)＜당기＞,,,,"15,650","7,950","6,110", , 
  SPS＜당기＞,"11,731","12,165","13,389","4,161","3,138",, , 
펼치기 EV/EBITDA,,,,25.35,23.96,,-5.49, 
  EV＜당기＞,,,,"1,589.9",817.1,, , 
  EBITDA＜당기＞,26.5,28.2,63.6,62.7,34.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
