항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,360,"1,138",146,141,954,, , 
  당기순이익(지배)＜당기＞,90.9,287.3,37.2,36.0,253.7,, , 
  보통주수정평균발행주식수＜당기＞,"25,244,030","25,244,030","25,417,990","25,508,734","26,602,713","30,206,408", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,111","4,211","4,044","4,855","5,242",, , 
  자본총계(지배)＜당기＞,785.2,"1,063.0","1,031.6","1,238.4","1,583.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,244,030","25,244,030","25,508,734","25,508,734","30,206,408","30,206,408", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,214,185,-270,370,211,, , 
  영업활동현금흐름＜당기＞,53.9,46.8,-68.6,94.4,56.0,, , 
  보통주수정평균발행주식수＜당기＞,"25,244,030","25,244,030","25,417,990","25,508,734","26,602,713","30,206,408", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"1,424","1,521","1,510","2,817","1,610",, , 
  매출액＜당기＞,359.5,384.0,383.7,718.5,428.4,, , 
  보통주수정평균발행주식수＜당기＞,"25,244,030","25,244,030","25,417,990","25,508,734","26,602,713","30,206,408", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,8.76,2.06,13.46,14.38,3.48,, , 
  보통주수정주가(기말)＜당기＞,"3,155","2,350","1,970","2,030","3,320","2,630", , 
  EPS＜당기＞,360,"1,138",146,141,954,, , 
펼치기 PBR,1.01,0.56,0.49,0.42,0.63,, , 
  보통주수정주가(기말)＜당기＞,"3,155","2,350","1,970","2,030","3,320","2,630", , 
  BPS＜당기＞,"3,111","4,211","4,044","4,855","5,242",, , 
펼치기 PCR,14.77,12.69,-7.30,5.49,15.77,, , 
  보통주수정주가(기말)＜당기＞,"3,155","2,350","1,970","2,030","3,320","2,630", , 
  CPS＜당기＞,214,185,-270,370,211,, , 
펼치기 PSR,2.22,1.54,1.30,0.72,2.06,, , 
  보통주수정주가(기말)＜당기＞,"3,155","2,350","1,970","2,030","3,320","2,630", , 
  SPS＜당기＞,"1,424","1,521","1,510","2,817","1,610",, , 
펼치기 EV/EBITDA,6.99,9.55,14.97,6.61,8.80,, , 
  EV＜당기＞,440.5,640.0,596.4,452.4,490.7,, , 
  EBITDA＜당기＞,63.0,67.0,39.8,68.4,55.8,, , 
펼치기 DPS,0,80,0,0,,, , 
  현금DPS,0,80,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,3.40,0.00,0.00,,, , 
  현금배당성향(%),0.00,7.03,0.00,0.00,,, , 
