항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,43,117,127,341,"7,374",,"2,065", 
  당기순이익(지배)＜당기＞,35.9,98.0,106.5,286.1,"6,194.2",, , 
  보통주수정평균발행주식수＜당기＞,"84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,785,859,991,"1,445","9,347",,547, 
  자본총계(지배)＜당기＞,598.0,654.1,755.1,"1,125.6","7,279.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"76,171,156","76,171,156","76,171,156","77,871,156","77,871,156","77,871,156", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,189,-110,-10,-20,210,,"1,129", 
  영업활동현금흐름＜당기＞,158.8,-92.1,-8.7,-17.1,176.0,, , 
  보통주수정평균발행주식수＜당기＞,"84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,100,223,273,532,"9,811",,"1,744", 
  매출액＜당기＞,84.4,187.3,229.4,446.9,"8,241.6",, , 
  보통주수정평균발행주식수＜당기＞,"84,000,000","84,000,000","84,000,000","84,000,000","84,000,000","84,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,78.59,22.19,19.88,14.30,1.24,,-91.33, 
  보통주수정주가(기말)＜당기＞,"3,355","2,590","2,520","4,870","9,140","6,500", , 
  EPS＜당기＞,43,117,127,341,"7,374",, , 
펼치기 PBR,4.27,3.02,2.54,3.37,0.98,,-70.98, 
  보통주수정주가(기말)＜당기＞,"3,355","2,590","2,520","4,870","9,140","6,500", , 
  BPS＜당기＞,785,859,991,"1,445","9,347",, , 
펼치기 PCR,17.75,-23.63,-243.52,-239.16,43.62,,118.24, 
  보통주수정주가(기말)＜당기＞,"3,355","2,590","2,520","4,870","9,140","6,500", , 
  CPS＜당기＞,189,-110,-10,-20,210,, , 
펼치기 PSR,33.41,11.61,9.23,9.15,0.93,,-89.82, 
  보통주수정주가(기말)＜당기＞,"3,355","2,590","2,520","4,870","9,140","6,500", , 
  SPS＜당기＞,100,223,273,532,"9,811",, , 
펼치기 EV/EBITDA,420.79,16.26,15.44,11.08,0.95,,-91.44, 
  EV＜당기＞,"2,596.4","2,093.7","2,055.3","4,060.3","7,517.8",, , 
  EBITDA＜당기＞,6.2,128.8,133.1,366.4,"7,926.8",, , 
펼치기 DPS,20,10,,,,, , 
  현금DPS,20,10,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.60,0.39,,,,, , 
  현금배당성향(%),42.48,7.77,0.00,0.00,,, , 
